feature,|rho|,|r|,combined,rank
AE_500-1000kHz__mobility,0.8476371801480534,0.6623474235347229,0.7549923018413882,1.0
AE_500-1000kHz__center_frequency,0.7985289171990267,0.6869482284451411,0.7427385728220839,2.0
shape_factor,0.7027416601305044,0.6245689503537895,0.663655305242147,3.0
AE_500-1000kHz__dominant_frequency,0.6757018605585579,0.5824421638235229,0.6290720121910404,4.0
AE_500-1000kHz__complexity,0.6824298350304512,0.5293090254821342,0.6058694302562927,5.0
AE_20-500kHz__shape_factor,0.6307176093119344,0.5542633130243644,0.5924904611681494,6.0
AE_500-1000kHz__rms,0.6165090438065846,0.5279471907120279,0.5722281172593062,7.0
AE_20-500kHz__center_frequency,0.5626745029486894,0.5434160723141045,0.5530452876313969,8.0
center_frequency,0.5772608206304208,0.5244829663247467,0.5508718934775838,9.0
AE_20-500kHz__mobility,0.5317091369725121,0.5496011720689201,0.5406551545207161,10.0
AE_500-1000kHz__crest_factor,0.5533923688319419,0.5230501486406384,0.5382212587362901,11.0
margin_factor,0.5888443980764657,0.4851722232953058,0.5370083106858857,12.0
mobility,0.5330456405891969,0.5351927074412387,0.5341191740152178,13.0
AE_500-1000kHz__margin_factor,0.5089152243088529,0.512223534489412,0.5105693793991325,14.0
complexity,0.5659808224732882,0.45386977600363054,0.5099252992384593,15.0
AE_20-500kHz__complexity,0.5234489403214586,0.47264557654895406,0.49804725843520636,16.0
AE_20-500kHz__rms,0.6033031054977067,0.3392309782529223,0.47126704187531454,17.0
rms,0.6010772819826232,0.3202191332715871,0.4606482076271051,18.0
AE_20-500kHz__dominant_frequency,0.3811596231699128,0.5214138909173263,0.45128675704361954,19.0
AE_500-1000kHz__kurtosis,0.46872925721046443,0.4040117224907935,0.436370489850629,20.0
AE_20-500kHz__margin_factor,0.46376645000742406,0.3429143404979874,0.4033403952527057,21.0
crest_factor,0.5041489676782012,0.2881918181321049,0.39617039290515305,22.0
kurtosis,0.4906057822559183,0.17408313592765806,0.33234445909178817,23.0
AE_20-500kHz__spectral_kurtosis,0.3899560478898121,0.2667985093643656,0.3283772786270889,24.0
AE_20-500kHz__spectral_skewness,0.37187051373032826,0.21963976593001866,0.29575513983017343,25.0
AE_500-1000kHz__shape_factor,0.2959155292273403,0.2887920866068042,0.2923538079170723,26.0
AE_500-1000kHz__skewness,0.36439567641214426,0.19780572001663843,0.2811006982143913,27.0
AE_500-1000kHz__spectral_kurtosis,0.2980867653939638,0.25793680273863673,0.2780117840663002,28.0
AE_20-500kHz__crest_factor,0.3710772559653669,0.15694512037097816,0.26401118816817254,29.0
AE_20-500kHz__skewness,0.2092985335985104,0.26095802375475835,0.23512827867663438,30.0
spectral_skewness,0.2837156574646666,0.17356483902287412,0.22864024824377036,31.0
AE_20-500kHz__spectral_flatness,0.24578506508005155,0.1653610370625694,0.20557305107131046,32.0
AE_20-500kHz__spectral_bandwidth,0.24077407115870084,0.1643381492897072,0.202556110224204,33.0
AE_500-1000kHz__spectral_skewness,0.1979802422391046,0.15747962893754955,0.17772993558832706,34.0
spectral_kurtosis,0.22943615961980934,0.1079157501178993,0.16867595486885434,35.0
AE_500-1000kHz__spectral_bandwidth,0.13536868798650661,0.10503159472590956,0.12020014135620809,36.0
