feature,|rho|,|r|,combined,rank
US_10-20kHz__rms,0.6910246709222813,0.6092107436690672,0.6501177072956743,1.0
rms,0.6135237493736344,0.5474080156270924,0.5804658825003635,2.0
US_0-10kHz__rms,0.6095865862441168,0.5420946100368184,0.5758405981404675,3.0
US_10-20kHz__mobility,0.5831529407286703,0.5362518296506243,0.5597023851896473,4.0
US_20-100kHz__mobility,0.41980354798716635,0.46645723020413027,0.4431303890956483,5.0
US_20-100kHz__rms,0.5065914079581042,0.34396023509257123,0.4252758215253377,6.0
complexity,0.5420869000973447,0.2966699060916166,0.41937840309448066,7.0
US_20-100kHz__complexity,0.4163776372610304,0.39629104776902624,0.4063343425150283,8.0
US_0-10kHz__kurtosis,0.46506500754707586,0.33076153720566714,0.39791327237637153,9.0
kurtosis,0.4520946343820489,0.2998569614532746,0.3759757979176618,10.0
US_10-20kHz__crest_factor,0.3503210655138654,0.3938891085487195,0.3721050870312924,11.0
US_0-10kHz__mobility,0.3795032001201893,0.34848315166042915,0.3639931758903092,12.0
US_10-20kHz__complexity,0.34156746917729147,0.305923691118307,0.3237455801477992,13.0
US_10-20kHz__margin_factor,0.2803588952199031,0.3581107141040734,0.3192348046619883,14.0
US_20-100kHz__dominant_frequency,0.2767947888360372,0.36020546944566106,0.31850012914084913,15.0
dominant_frequency,0.3216435256058256,0.30571227251196154,0.31367789905889354,16.0
US_0-10kHz__dominant_frequency,0.32166463757576036,0.3043343192496048,0.3129994784126826,17.0
margin_factor,0.2984966880924258,0.30862722406428184,0.3035619560783538,18.0
crest_factor,0.3094282719726047,0.29003080607657894,0.2997295390245918,19.0
US_10-20kHz__kurtosis,0.231653215808987,0.3472707458452809,0.2894619808271339,20.0
US_0-10kHz__margin_factor,0.26038298232608753,0.28906317052832053,0.27472307642720406,21.0
US_0-10kHz__crest_factor,0.2688249279602209,0.2528006719397345,0.2608127999499777,22.0
shape_factor,0.2383028240757037,0.2798806312964907,0.25909172768609723,23.0
US_20-100kHz__spectral_bandwidth,0.2671497803524389,0.24523358649418214,0.25619168342331056,24.0
skewness,0.29788417661957134,0.20596943719626298,0.25192680690791713,25.0
US_20-100kHz__spectral_flatness,0.2548943627971524,0.23400678278149567,0.24445057278932403,26.0
US_0-10kHz__shape_factor,0.22490989062480393,0.25409870246619504,0.23950429654549948,27.0
US_0-10kHz__skewness,0.2761740503207646,0.18959418872460745,0.232884119522686,28.0
US_10-20kHz__shape_factor,0.11300746638224124,0.3054213138787303,0.20921439013048576,29.0
US_20-100kHz__crest_factor,0.18367464760651878,0.22961177941831676,0.20664321351241777,30.0
US_20-100kHz__spectral_skewness,0.26335576667663085,0.1441163142610702,0.20373604046885052,31.0
US_20-100kHz__center_frequency,0.17574265847996304,0.18698744911822845,0.18136505379909573,32.0
US_10-20kHz__spectral_bandwidth,0.16658392015728984,0.13566091312566023,0.15112241664147502,33.0
US_10-20kHz__spectral_flatness,0.1637716582086797,0.11154591671029425,0.13765878745948698,34.0
US_10-20kHz__center_frequency,0.15843051654071666,0.10839104445961448,0.13341078050016558,35.0
