feature,vif,retained
AE_500-1000kHz__margin_factor,2948.642197608081,False
AE_500-1000kHz__crest_factor,2649.617198135539,True
AE_20-500kHz__rms,2580.423982401358,True
rms,2367.943011242183,False
AE_20-500kHz__mobility,517.8786845614015,False
AE_20-500kHz__center_frequency,310.74225086651694,False
margin_factor,293.6820932043097,True
AE_20-500kHz__margin_factor,223.45742763887887,False
mobility,211.52374100460787,False
AE_500-1000kHz__mobility,191.7274007271057,True
crest_factor,183.58116399990143,False
shape_factor,161.90977498105744,True
AE_20-500kHz__shape_factor,132.76623171546234,False
AE_20-500kHz__crest_factor,112.59126371962523,False
AE_20-500kHz__spectral_bandwidth,107.9961052436936,False
AE_500-1000kHz__center_frequency,102.33806375817424,False
AE_20-500kHz__spectral_flatness,84.65696460027364,False
center_frequency,84.33411651492018,False
AE_500-1000kHz__spectral_skewness,43.69519363104155,False
complexity,34.705454451440374,False
AE_500-1000kHz__complexity,33.92052446883908,False
AE_500-1000kHz__spectral_kurtosis,26.121846032986152,True
AE_20-500kHz__spectral_kurtosis,25.068911352114927,False
AE_20-500kHz__complexity,20.251578621680583,False
AE_500-1000kHz__spectral_bandwidth,19.36406586562922,False
AE_500-1000kHz__shape_factor,18.821371712534617,False
spectral_skewness,17.706122976138506,True
AE_500-1000kHz__dominant_frequency,16.55915684667437,False
spectral_kurtosis,16.423201561095528,False
AE_20-500kHz__spectral_skewness,15.447967921972173,True
AE_20-500kHz__dominant_frequency,11.646319433750023,False
AE_500-1000kHz__kurtosis,10.516803530628085,False
kurtosis,8.084191154230806,False
AE_500-1000kHz__rms,4.740071192497754,True
AE_500-1000kHz__skewness,1.3585777881197174,True
AE_20-500kHz__skewness,1.1727434414848121,True
