feature,vif,retained
US_10-20kHz__spectral_flatness,81270.08346284408,False
US_10-20kHz__center_frequency,79827.6566370299,False
rms,49061.25047607094,False
US_0-10kHz__rms,47252.673921716334,False
US_20-100kHz__spectral_flatness,6310.323516871584,False
US_20-100kHz__center_frequency,5702.505835118584,False
margin_factor,2021.5668382558672,False
US_0-10kHz__margin_factor,1853.9182807422558,False
shape_factor,930.1238329777626,False
US_0-10kHz__shape_factor,853.4248287733068,False
crest_factor,753.6033788363995,False
US_0-10kHz__crest_factor,681.2559566635654,False
US_0-10kHz__dominant_frequency,83.79782325163829,True
dominant_frequency,83.22635923397145,False
US_10-20kHz__margin_factor,66.13719377847013,False
US_20-100kHz__mobility,58.71640670200988,False
US_20-100kHz__spectral_bandwidth,55.220712523061664,True
US_10-20kHz__shape_factor,47.51364564120368,False
US_10-20kHz__rms,40.77683953086555,False
kurtosis,30.05340274396878,False
US_10-20kHz__spectral_bandwidth,20.70159661122102,True
US_0-10kHz__kurtosis,19.209867731476965,True
US_10-20kHz__kurtosis,15.593384515622203,False
US_20-100kHz__rms,14.87524549094746,False
US_10-20kHz__crest_factor,13.618666896808437,True
US_20-100kHz__complexity,8.759277385546987,True
US_20-100kHz__crest_factor,8.089724401440032,False
skewness,7.003689886797966,True
US_20-100kHz__dominant_frequency,6.857886959478596,False
US_0-10kHz__skewness,6.781313915093026,False
US_10-20kHz__mobility,5.867991597110499,True
US_20-100kHz__spectral_skewness,4.951284614482631,True
US_0-10kHz__mobility,3.63645754429687,True
complexity,2.992100901795261,True
US_10-20kHz__complexity,2.081849442585598,True
