,mean_abs_shap
AE__shape_factor,0.10931079411464772
AE_20-500kHz__rms,0.09476276726505202
AE_500-1000kHz__mobility,0.07935529007123575
US_0-10kHz__dominant_frequency,0.06256928103710628
US_0-10kHz__mobility,0.05870729955454921
AE_500-1000kHz__crest_factor,0.05845729203888448
US_10-20kHz__mobility,0.04430028974107497
US_10-20kHz__complexity,0.041306538253271484
AE_20-500kHz__skewness,0.03215378427190047
AE_500-1000kHz__rms,0.03162497602853426
US__complexity,0.03132394737640323
AE__margin_factor,0.025676005956056083
US_10-20kHz__crest_factor,0.02216165494074269
US_0-10kHz__kurtosis,0.019198915730590432
AE_500-1000kHz__spectral_kurtosis,0.012922255658886559
US_20-100kHz__complexity,0.012608630918131969
US_20-100kHz__spectral_bandwidth,0.012100409815082041
AE_500-1000kHz__skewness,0.0033035723633701333
US_10-20kHz__spectral_bandwidth,0.0023632662066429733
US__skewness,0.0022882584243318718
US_20-100kHz__spectral_skewness,0.00211837288389657
AE__spectral_skewness,0.0014816435912171518
AE_20-500kHz__spectral_skewness,0.00083161593125357
