,mean_abs_shap
US_0-10kHz__mobility,0.09465961413357252
US_10-20kHz__mobility,0.0708503441572956
US_20-100kHz__complexity,0.06314932984531395
US_10-20kHz__complexity,0.05593990454695355
complexity,0.0530163174119645
US_0-10kHz__kurtosis,0.047829177759214414
US_10-20kHz__crest_factor,0.03765516081685681
US_20-100kHz__spectral_bandwidth,0.020965994237193114
skewness,0.009021790638317656
US_0-10kHz__dominant_frequency,0.0073370643561628986
US_10-20kHz__spectral_bandwidth,0.0024808561886207874
US_20-100kHz__spectral_skewness,0.0008577624100939297
