,mean_abs_shap
AE_500-1000kHz__mobility,0.16179657411172885
US_0-10kHz__mobility,0.061972076172424936
US_10-20kHz__mobility,0.05660061568949323
AE_20-500kHz__rms,0.03135399691993841
US_20-100kHz__complexity,0.028464375160624406
AE_500-1000kHz__crest_factor,0.01717039244497538
AE_500-1000kHz__rms,0.010632879052854208
AE__shape_factor,0.009848252944993138
US_0-10kHz__kurtosis,0.008906638005164794
US_0-10kHz__dominant_frequency,0.008164370414871749
AE__margin_factor,0.005399903631173502
AE_20-500kHz__skewness,0.00432031383525813
US__complexity,0.0033885444493885184
US_10-20kHz__crest_factor,0.0028673957000965224
US__skewness,0.002797633588123684
US_10-20kHz__complexity,0.002678231222760694
AE_500-1000kHz__skewness,0.002455073958465507
AE_500-1000kHz__spectral_kurtosis,0.0018083404064494922
US_20-100kHz__spectral_bandwidth,0.001778617026083427
AE_20-500kHz__spectral_skewness,0.0013844381885030042
US_10-20kHz__spectral_bandwidth,0.0012702685584512921
AE__spectral_skewness,0.0011795342732757812
US_20-100kHz__spectral_skewness,0.0010449454199109797
