,mean_abs_shap
US_10-20kHz__mobility,0.12771299115980475
US_20-100kHz__complexity,0.10078654672877822
US_0-10kHz__mobility,0.06882875488316526
US_0-10kHz__kurtosis,0.06439290095369972
complexity,0.04751979648501864
US_10-20kHz__crest_factor,0.03041320981299342
US_0-10kHz__dominant_frequency,0.0263471210507107
US_10-20kHz__complexity,0.01634904444525154
skewness,0.01135159291250029
US_20-100kHz__spectral_skewness,0.0056123271110631555
US_10-20kHz__spectral_bandwidth,0.004672350401301686
US_20-100kHz__spectral_bandwidth,0.00423296606963394
