,mean_abs_shap
AE_500-1000kHz__mobility,0.4477556543431602
margin_factor,0.17496561802746752
AE_500-1000kHz__mobility shape_factor,0.15928623142388487
shape_factor,0.15898176570038708
AE_500-1000kHz__mobility AE_500-1000kHz__crest_factor,0.13877604057093076
AE_500-1000kHz__mobility margin_factor,0.10534980099297285
AE_500-1000kHz__mobility^2,0.0854161683267128
margin_factor^2,0.08280854491719056
AE_500-1000kHz__rms,0.08056815885672308
AE_500-1000kHz__crest_factor,0.06989962233617351
AE_500-1000kHz__crest_factor^2,0.0608678140464338
shape_factor margin_factor,0.059286988603280896
AE_500-1000kHz__crest_factor margin_factor,0.04108661428234393
AE_500-1000kHz__rms^2,0.03667984407204961
shape_factor^2,0.02150035510303025
AE_500-1000kHz__crest_factor AE_500-1000kHz__rms,0.019122098978708618
shape_factor AE_500-1000kHz__rms,0.01886518088031261
AE_500-1000kHz__rms margin_factor,0.016878749891894616
shape_factor AE_500-1000kHz__crest_factor,0.009075202599960492
AE_500-1000kHz__mobility AE_500-1000kHz__rms,0.005365301949491726
