,mean_abs_shap
AE_500-1000kHz__mobility,0.23209561882128052
US_10-20kHz__mobility,0.14560006826553323
AE_500-1000kHz__rms,0.08941263832388248
AE_500-1000kHz__mobility^2,0.06607804996210871
AE_500-1000kHz__mobility AE__shape_factor,0.05533303444118071
AE_500-1000kHz__mobility US_10-20kHz__mobility,0.04470901117822602
AE_500-1000kHz__rms^2,0.04279282797903104
AE_500-1000kHz__crest_factor^2,0.022855379397849648
US_10-20kHz__mobility^2,0.019336394095350203
AE__shape_factor US_10-20kHz__mobility,0.016156420208787506
AE_500-1000kHz__crest_factor US_10-20kHz__mobility,0.016043343451199225
AE_500-1000kHz__mobility AE_500-1000kHz__rms,0.01304540083419535
AE__shape_factor AE_500-1000kHz__rms,0.009570922859671118
US_10-20kHz__mobility AE_500-1000kHz__rms,0.007267213656741121
AE_500-1000kHz__mobility AE_500-1000kHz__crest_factor,0.0055044038110196696
AE__shape_factor AE_500-1000kHz__crest_factor,0.0053852124540855004
AE__shape_factor^2,0.004480301569207701
AE_500-1000kHz__crest_factor,0.004455967804309429
AE__shape_factor,0.002660457585676443
AE_500-1000kHz__crest_factor AE_500-1000kHz__rms,0.0023753194138124577
