,mean_abs_shap
US_0-10kHz__mobility,0.1704781548399041
US_10-20kHz__mobility,0.09781969356357385
US_0-10kHz__kurtosis,0.09755940437425213
US_20-100kHz__complexity,0.06864107602387089
US_10-20kHz__mobility US_0-10kHz__mobility,0.04524457382982436
US_20-100kHz__complexity US_0-10kHz__kurtosis,0.03745351528171092
US_0-10kHz__mobility US_0-10kHz__kurtosis,0.033873395001006376
US_20-100kHz__complexity US_0-10kHz__mobility,0.03317974191136868
US_10-20kHz__crest_factor,0.026498772433123746
US_0-10kHz__mobility^2,0.024109514020878315
US_10-20kHz__mobility US_20-100kHz__complexity,0.023777702497605063
US_10-20kHz__crest_factor^2,0.018786848964371293
US_20-100kHz__complexity^2,0.018560239883000408
US_10-20kHz__mobility US_10-20kHz__crest_factor,0.015694865158768126
US_0-10kHz__kurtosis^2,0.014953511397006986
US_20-100kHz__complexity US_10-20kHz__crest_factor,0.012724978814833254
US_10-20kHz__crest_factor US_0-10kHz__kurtosis,0.012194681441340472
US_10-20kHz__mobility US_0-10kHz__kurtosis,0.011057446189889299
US_10-20kHz__mobility^2,0.008161021871515404
US_10-20kHz__crest_factor US_0-10kHz__mobility,0.007746248029839374
