feature,coefficient,abs_coefficient
shape_factor,0.18363714003537224,0.18363714003537224
AE_500-1000kHz__mobility,0.15741121993509963,0.15741121993509963
AE_20-500kHz__rms,-0.1447477132300874,0.1447477132300874
AE_500-1000kHz__crest_factor,0.09304177098995059,0.09304177098995059
AE_20-500kHz__skewness,-0.06006971794588239,0.06006971794588239
margin_factor,-0.0496149649359685,0.0496149649359685
AE_500-1000kHz__rms,0.04379063835731652,0.04379063835731652
AE_500-1000kHz__spectral_kurtosis,-0.02828127758056704,0.02828127758056704
AE_500-1000kHz__skewness,-0.004975052401852492,0.004975052401852492
spectral_skewness,-0.002297385933491032,0.002297385933491032
AE_20-500kHz__spectral_skewness,0.0011449337286876214,0.0011449337286876214
