feature,coefficient,abs_coefficient
AE__shape_factor,0.13445927268582272,0.13445927268582272
AE_500-1000kHz__mobility,0.10962611794818534,0.10962611794818534
AE_20-500kHz__rms,-0.1000053154680823,0.1000053154680823
US_0-10kHz__dominant_frequency,-0.08387241337244172,0.08387241337244172
US_0-10kHz__mobility,0.06588938205000623,0.06588938205000623
AE_500-1000kHz__crest_factor,0.059034335721178464,0.059034335721178464
US__complexity,-0.05756966829450368,0.05756966829450368
US_10-20kHz__mobility,-0.05556188714313126,0.05556188714313126
AE_20-500kHz__skewness,-0.048203933776071045,0.048203933776071045
AE_500-1000kHz__rms,0.04714595236896565,0.04714595236896565
US_10-20kHz__complexity,-0.04693586832948724,0.04693586832948724
AE__margin_factor,-0.03160715467787711,0.03160715467787711
US_10-20kHz__crest_factor,-0.030279488266431773,0.030279488266431773
US_0-10kHz__kurtosis,-0.02761410728553289,0.02761410728553289
US_20-100kHz__spectral_bandwidth,0.01595611452434209,0.01595611452434209
US_20-100kHz__complexity,-0.015896289292543195,0.015896289292543195
AE_500-1000kHz__spectral_kurtosis,-0.015589833059636984,0.015589833059636984
AE_500-1000kHz__skewness,0.006468117691520108,0.006468117691520108
US_20-100kHz__spectral_skewness,0.0038059539986963144,0.0038059539986963144
US__skewness,-0.0030455836935835783,0.0030455836935835783
US_10-20kHz__spectral_bandwidth,-0.0029709654039746076,0.0029709654039746076
AE__spectral_skewness,-0.0017467102647025306,0.0017467102647025306
AE_20-500kHz__spectral_skewness,-0.0010919795984974687,0.0010919795984974687
