feature,coefficient,abs_coefficient
US_0-10kHz__mobility,0.10623999958570438,0.10623999958570438
complexity,-0.09743764956973877,0.09743764956973877
US_10-20kHz__mobility,-0.08886124332658021,0.08886124332658021
US_20-100kHz__complexity,-0.07961530656018807,0.07961530656018807
US_0-10kHz__kurtosis,-0.0687934706602909,0.0687934706602909
US_10-20kHz__complexity,-0.06356349636663026,0.06356349636663026
US_10-20kHz__crest_factor,-0.05144827871263694,0.05144827871263694
US_20-100kHz__spectral_bandwidth,0.027646650838914703,0.027646650838914703
skewness,-0.012007655325472204,0.012007655325472204
US_0-10kHz__dominant_frequency,-0.009835134500832083,0.009835134500832083
US_10-20kHz__spectral_bandwidth,0.0031187929180007765,0.0031187929180007765
US_20-100kHz__spectral_skewness,0.0015410904753573942,0.0015410904753573942
