feature,importance,abs_importance
AE_500-1000kHz__mobility,1276,1276
AE_500-1000kHz__rms,1108,1108
US_0-10kHz__mobility,1008,1008
US_10-20kHz__mobility,956,956
AE_500-1000kHz__crest_factor,837,837
AE_20-500kHz__rms,809,809
AE_20-500kHz__skewness,803,803
US_0-10kHz__kurtosis,765,765
US__complexity,736,736
US_20-100kHz__complexity,718,718
AE_500-1000kHz__skewness,715,715
AE_500-1000kHz__spectral_kurtosis,666,666
US_10-20kHz__complexity,647,647
AE__shape_factor,627,627
AE__margin_factor,614,614
US_10-20kHz__spectral_bandwidth,603,603
US_10-20kHz__crest_factor,583,583
AE_20-500kHz__spectral_skewness,580,580
AE__spectral_skewness,575,575
US__skewness,573,573
US_20-100kHz__spectral_bandwidth,446,446
US_0-10kHz__dominant_frequency,443,443
US_20-100kHz__spectral_skewness,218,218
