feature,coefficient,abs_coefficient
AE_500-1000kHz__mobility,0.6185562944943792,0.6185562944943792
AE_500-1000kHz__mobility shape_factor,0.23921372092244547,0.23921372092244547
AE_500-1000kHz__mobility AE_500-1000kHz__crest_factor,0.21542583560669498,0.21542583560669498
margin_factor,0.21538261682012716,0.21538261682012716
shape_factor,-0.19555774669390538,0.19555774669390538
AE_500-1000kHz__crest_factor^2,0.15471939980871152,0.15471939980871152
AE_500-1000kHz__mobility margin_factor,-0.14271945330749894,0.14271945330749894
AE_500-1000kHz__rms,0.12010957973492489,0.12010957973492489
margin_factor^2,-0.08543662944230442,0.08543662944230442
AE_500-1000kHz__crest_factor,-0.07058961556126157,0.07058961556126157
shape_factor margin_factor,0.06922706502150902,0.06922706502150902
AE_500-1000kHz__mobility^2,0.06859176525018958,0.06859176525018958
AE_500-1000kHz__crest_factor margin_factor,0.05638284203268437,0.05638284203268437
AE_500-1000kHz__rms^2,0.039489308654098616,0.039489308654098616
AE_500-1000kHz__crest_factor AE_500-1000kHz__rms,-0.03492871859807823,0.03492871859807823
shape_factor AE_500-1000kHz__rms,-0.033231089304645474,0.033231089304645474
shape_factor^2,0.030326814094317003,0.030326814094317003
AE_500-1000kHz__rms margin_factor,0.029328803820222963,0.029328803820222963
shape_factor AE_500-1000kHz__crest_factor,-0.013208623291836979,0.013208623291836979
AE_500-1000kHz__mobility AE_500-1000kHz__rms,-0.0074218760404484935,0.0074218760404484935
