feature,coefficient,abs_coefficient
AE_500-1000kHz__mobility,0.32063069344612555,0.32063069344612555
US_10-20kHz__mobility,-0.18261312980761243,0.18261312980761243
AE_500-1000kHz__rms,0.13329477258094516,0.13329477258094516
AE_500-1000kHz__mobility AE__shape_factor,0.08309833775513553,0.08309833775513553
AE_500-1000kHz__crest_factor^2,0.058095902378522656,0.058095902378522656
AE_500-1000kHz__mobility US_10-20kHz__mobility,-0.056372379598721156,0.056372379598721156
AE_500-1000kHz__mobility^2,0.053062671622719076,0.053062671622719076
AE_500-1000kHz__rms^2,0.046070511884574575,0.046070511884574575
US_10-20kHz__mobility^2,0.027288211394571146,0.027288211394571146
AE__shape_factor US_10-20kHz__mobility,-0.023373994090918823,0.023373994090918823
AE_500-1000kHz__crest_factor US_10-20kHz__mobility,-0.021077722536549222,0.021077722536549222
AE_500-1000kHz__mobility AE_500-1000kHz__rms,-0.018045833915933375,0.018045833915933375
AE__shape_factor AE_500-1000kHz__rms,-0.016859217745933075,0.016859217745933075
US_10-20kHz__mobility AE_500-1000kHz__rms,-0.012763453792725386,0.012763453792725386
AE_500-1000kHz__mobility AE_500-1000kHz__crest_factor,0.008544636276025697,0.008544636276025697
AE__shape_factor AE_500-1000kHz__crest_factor,0.007837978476958078,0.007837978476958078
AE__shape_factor^2,0.006319582728970314,0.006319582728970314
AE_500-1000kHz__crest_factor,0.004499953558358244,0.004499953558358244
AE_500-1000kHz__crest_factor AE_500-1000kHz__rms,0.0043387947880609975,0.0043387947880609975
AE__shape_factor,0.003272533100494594,0.003272533100494594
