feature,coefficient,abs_coefficient
US_0-10kHz__mobility,0.1913339629084701,0.1913339629084701
US_0-10kHz__kurtosis,-0.14032125026783662,0.14032125026783662
US_10-20kHz__mobility,-0.12268648367587606,0.12268648367587606
US_20-100kHz__complexity,-0.0865390072016288,0.0865390072016288
US_10-20kHz__mobility US_0-10kHz__mobility,-0.05282207589645823,0.05282207589645823
US_20-100kHz__complexity US_0-10kHz__kurtosis,0.04976705636167304,0.04976705636167304
US_20-100kHz__complexity US_0-10kHz__mobility,-0.04076474035403843,0.04076474035403843
US_10-20kHz__mobility US_20-100kHz__complexity,0.03972529153791406,0.03972529153791406
US_0-10kHz__mobility US_0-10kHz__kurtosis,-0.0375629170940237,0.0375629170940237
US_10-20kHz__crest_factor,-0.03620529563830159,0.03620529563830159
US_10-20kHz__mobility US_10-20kHz__crest_factor,0.025850940897766534,0.025850940897766534
US_10-20kHz__mobility US_0-10kHz__kurtosis,0.019713575355715995,0.019713575355715995
US_10-20kHz__crest_factor^2,-0.019708853398778113,0.019708853398778113
US_20-100kHz__complexity^2,-0.01936722831096246,0.01936722831096246
US_20-100kHz__complexity US_10-20kHz__crest_factor,0.017475698218368026,0.017475698218368026
US_10-20kHz__crest_factor US_0-10kHz__kurtosis,0.016754383556022212,0.016754383556022212
US_0-10kHz__mobility^2,0.014211172693206908,0.014211172693206908
US_10-20kHz__mobility^2,-0.0115171261470712,0.0115171261470712
US_0-10kHz__kurtosis^2,0.010893723672633096,0.010893723672633096
US_10-20kHz__crest_factor US_0-10kHz__mobility,-0.010284333720807191,0.010284333720807191
