feature,rho_rpm,rho_temp,rho_kappa,rho_rpm_signed,rho_temp_signed,rho_kappa_signed
AE_500-1000kHz__mobility,0.8791875812905555,0.29592639316673713,0.8476371801480534,0.8791875812905555,-0.29592639316673713,0.8476371801480534
shape_factor,0.7394158536409293,0.13562564753751655,0.7027416601305044,0.7394158536409293,-0.13562564753751655,0.7027416601305044
AE_500-1000kHz__rms,0.6097871112933493,0.19363102723624095,0.6165090438065846,0.6097871112933493,-0.19363102723624095,0.6165090438065846
AE_20-500kHz__rms,0.8677290350768885,0.07547529169609749,0.6033031054977067,0.8677290350768885,0.07547529169609749,0.6033031054977067
margin_factor,0.5069850218198176,0.194069601515553,0.5888443980764657,0.5069850218198176,-0.194069601515553,0.5888443980764657
AE_500-1000kHz__crest_factor,0.649733045906978,0.13766494274475125,0.5533923688319419,0.649733045906978,-0.13766494274475125,0.5533923688319419
AE_20-500kHz__spectral_skewness,0.5150933231909793,0.0009528258124381481,0.37187051373032826,0.5150933231909793,-0.0009528258124381481,0.37187051373032826
AE_500-1000kHz__skewness,0.48925145513122587,0.04176521783150405,0.36439567641214426,0.48925145513122587,-0.04176521783150405,0.36439567641214426
AE_500-1000kHz__spectral_kurtosis,0.2763245742236942,0.06362963847225239,0.2980867653939638,0.2763245742236942,-0.06362963847225239,0.2980867653939638
spectral_skewness,0.5087575435880043,0.10679933692018583,0.2837156574646666,0.5087575435880043,0.10679933692018583,0.2837156574646666
AE_20-500kHz__skewness,0.04138797491360209,0.24572065169164406,0.2092985335985104,-0.04138797491360209,0.24572065169164406,-0.2092985335985104
