feature,rho_rpm,rho_temp,rho_kappa,rho_rpm_signed,rho_temp_signed,rho_kappa_signed
US_10-20kHz__mobility,0.25137723699984,0.6834676667276626,0.5831529407286703,-0.25137723699984,0.6834676667276626,-0.5831529407286703
complexity,0.32499485175135373,0.35524913345120407,0.5420869000973447,-0.32499485175135373,0.35524913345120407,-0.5420869000973447
US_0-10kHz__kurtosis,0.763519273472802,0.06648791418922119,0.46506500754707586,-0.763519273472802,-0.06648791418922119,-0.46506500754707586
US_20-100kHz__complexity,0.7456479561195521,0.199566026256521,0.4163776372610304,-0.7456479561195521,-0.199566026256521,-0.4163776372610304
US_0-10kHz__mobility,0.0147049975906504,0.5769924768561858,0.3795032001201893,-0.0147049975906504,-0.5769924768561858,0.3795032001201893
US_10-20kHz__crest_factor,0.531475235974385,0.01313018646591584,0.3503210655138654,-0.531475235974385,0.01313018646591584,-0.3503210655138654
US_10-20kHz__complexity,0.001160802326691431,0.5658032362914045,0.34156746917729147,-0.001160802326691431,0.5658032362914045,-0.34156746917729147
US_0-10kHz__dominant_frequency,0.1500940721294698,0.26980786538841606,0.32166463757576036,0.1500940721294698,-0.26980786538841606,0.32166463757576036
skewness,0.2140314710300356,0.22994470491024951,0.29788417661957134,-0.2140314710300356,0.22994470491024951,-0.29788417661957134
US_20-100kHz__spectral_bandwidth,0.2602516491463641,0.11501338997157559,0.2671497803524389,0.2602516491463641,-0.11501338997157559,0.2671497803524389
US_20-100kHz__spectral_skewness,0.25550953345269317,0.11578151533307533,0.26335576667663085,-0.25550953345269317,0.11578151533307533,-0.26335576667663085
US_10-20kHz__spectral_bandwidth,0.18324521798644267,0.07067553342230902,0.16658392015728984,0.18324521798644267,-0.07067553342230902,0.16658392015728984
