step,n,feature,rho_temp
100.0,53,US_0-10kHz__dominant_frequency,
100.0,53,US_0-10kHz__kurtosis,-0.45619611833846396
100.0,53,US_0-10kHz__mobility,-0.17644630380061038
100.0,53,US_10-20kHz__complexity,-0.3041714482818827
100.0,53,US_10-20kHz__crest_factor,0.01957800971813001
100.0,53,US_10-20kHz__mobility,0.3302211909421804
100.0,53,US_10-20kHz__spectral_bandwidth,0.2273247074340044
100.0,53,US_20-100kHz__complexity,0.11763086920040693
100.0,53,US_20-100kHz__spectral_bandwidth,0.18991890508273312
100.0,53,US_20-100kHz__spectral_skewness,-0.1949253400002591
100.0,53,complexity,-0.6700482244903456
100.0,53,skewness,-0.29460630839880464
200.0,578,US_0-10kHz__dominant_frequency,0.10668629747051529
200.0,578,US_0-10kHz__kurtosis,0.2794502930042781
200.0,578,US_0-10kHz__mobility,-0.13860756368014676
200.0,578,US_10-20kHz__complexity,0.04010683347090191
200.0,578,US_10-20kHz__crest_factor,0.012476260535919992
200.0,578,US_10-20kHz__mobility,-0.07105574236083337
200.0,578,US_10-20kHz__spectral_bandwidth,-0.022385478311569593
200.0,578,US_20-100kHz__complexity,-0.07321054997319577
200.0,578,US_20-100kHz__spectral_bandwidth,-0.028321123540187253
200.0,578,US_20-100kHz__spectral_skewness,0.02687710370076174
200.0,578,complexity,0.2779192626694907
200.0,578,skewness,0.07249000110860343
400.0,1306,US_0-10kHz__dominant_frequency,0.01566655863880306
400.0,1306,US_0-10kHz__kurtosis,0.11844306935404415
400.0,1306,US_0-10kHz__mobility,-0.37856205879462573
400.0,1306,US_10-20kHz__complexity,0.5007223467628369
400.0,1306,US_10-20kHz__crest_factor,0.34539320814763935
400.0,1306,US_10-20kHz__mobility,0.7702904944972938
400.0,1306,US_10-20kHz__spectral_bandwidth,-0.32064276436214906
400.0,1306,US_20-100kHz__complexity,0.26246143904806113
400.0,1306,US_20-100kHz__spectral_bandwidth,-0.22380274534057212
400.0,1306,US_20-100kHz__spectral_skewness,0.23165465435732782
400.0,1306,complexity,-0.5274659770065692
400.0,1306,skewness,0.306146075166429
500.0,255,US_0-10kHz__dominant_frequency,-0.16894349749680063
500.0,255,US_0-10kHz__kurtosis,-0.32370031727641313
500.0,255,US_0-10kHz__mobility,-0.6248280948937678
500.0,255,US_10-20kHz__complexity,0.6039373213638695
500.0,255,US_10-20kHz__crest_factor,0.16799550521312212
500.0,255,US_10-20kHz__mobility,0.7966174442673086
500.0,255,US_10-20kHz__spectral_bandwidth,0.05711448740299765
500.0,255,US_20-100kHz__complexity,0.09178538383140393
500.0,255,US_20-100kHz__spectral_bandwidth,0.016634742511670186
500.0,255,US_20-100kHz__spectral_skewness,-0.013281714500118072
500.0,255,complexity,-0.16667667892058013
500.0,255,skewness,0.16336566789610157
600.0,149,US_0-10kHz__dominant_frequency,-0.4016781522386612
600.0,149,US_0-10kHz__kurtosis,-0.41915153351365814
600.0,149,US_0-10kHz__mobility,-0.770989273051737
600.0,149,US_10-20kHz__complexity,0.4051875694492875
600.0,149,US_10-20kHz__crest_factor,0.09314458330548085
600.0,149,US_10-20kHz__mobility,0.7298206574980863
600.0,149,US_10-20kHz__spectral_bandwidth,-0.11550800623314152
600.0,149,US_20-100kHz__complexity,-0.2976683172540134
