sweep,rpm,temp,band,p_total,p_broad,p_line,line_share
sweep_8105,203.52,93.0,AE_20-500kHz,1.940371337281343e-05,6.528263225103555e-06,1.3721812469541316e-05,0.7071745601420275
sweep_8105,203.52,93.0,AE_500-1000kHz,2.1369948160992735e-05,8.505977436615852e-06,1.388593262019252e-05,0.6497878476625866
sweep_8105,203.52,93.0,AE_1000-2000kHz,7.643090309751788e-06,6.19710988216431e-06,2.3673671018499226e-06,0.30973951712037323
sweep_8106,203.52,93.0,AE_20-500kHz,2.8377830362445588e-05,9.051484801342854e-06,2.066419703749725e-05,0.7281810051568869
sweep_8106,203.52,93.0,AE_500-1000kHz,3.6459481025344195e-05,1.276020678498509e-05,2.4951843509256908e-05,0.684371878247857
sweep_8106,203.52,93.0,AE_1000-2000kHz,6.915458481841898e-06,5.697572597100712e-06,2.047968072062931e-06,0.2961434990088271
sweep_6707,400.62,87.0,AE_20-500kHz,8.700513374896335e-06,5.330638731068194e-06,4.077308751524846e-06,0.46862852521888415
sweep_6707,400.62,87.0,AE_500-1000kHz,1.1726765787041124e-05,8.412732305671818e-06,4.3773451536551895e-06,0.3732781257124155
sweep_6707,400.62,87.0,AE_1000-2000kHz,3.7183437970210115e-06,2.2756095075704874e-06,1.9041953254626905e-06,0.5121084626408822
sweep_8733,399.36,93.0,AE_20-500kHz,7.493593681023189e-05,3.4516876906657456e-05,4.4349606584046865e-05,0.5918336177788505
sweep_8733,399.36,93.0,AE_500-1000kHz,4.76649550069665e-05,3.187366860311202e-05,2.0089200285907112e-05,0.42146688868102283
sweep_8733,399.36,93.0,AE_1000-2000kHz,8.573034312638945e-06,5.532569947451948e-06,4.1844632064854575e-06,0.48809593591809614
sweep_8036,601.12,90.0,AE_20-500kHz,6.254155968913436e-05,2.5453225226747166e-05,4.045710050988254e-05,0.6468834597502265
sweep_8036,601.12,90.0,AE_500-1000kHz,5.985290765294236e-05,5.0334278783437886e-05,1.6260420319431214e-05,0.2716730223653864
sweep_8036,601.12,90.0,AE_1000-2000kHz,6.323283870975793e-06,4.877023693166959e-06,2.358308199886783e-06,0.3729562436239091
sweep_8714,601.76,90.0,AE_20-500kHz,5.181974332021262e-05,2.282840324212887e-05,3.1955856622899406e-05,0.616673386925767
sweep_8714,601.76,90.0,AE_500-1000kHz,5.988189578790596e-05,4.955909416291301e-05,1.7449705872531072e-05,0.29140202799082554
sweep_8714,601.76,90.0,AE_1000-2000kHz,6.228657532198105e-06,4.8350472482887965e-06,2.2455927680680284e-06,0.3605259650991848
sweep_8700,784.67,89.0,AE_20-500kHz,7.526298603699713e-05,3.670206672550194e-05,4.2346864351274823e-05,0.5626519299999381
sweep_8700,784.67,89.0,AE_500-1000kHz,6.801028766078408e-05,5.8574151890054176e-05,1.7346241451255307e-05,0.2550531992714604
sweep_8700,784.67,89.0,AE_1000-2000kHz,4.274391947068997e-06,3.8018432096275965e-06,1.0902128382305837e-06,0.2550568248609386
sweep_7352,781.65,89.0,AE_20-500kHz,4.8209587194921435e-05,1.8276204713459718e-05,3.271032775272546e-05,0.6785025480610479
sweep_7352,781.65,89.0,AE_500-1000kHz,4.724328623123725e-05,3.6123464880156e-05,1.6456297528824907e-05,0.3483309236423102
sweep_7352,781.65,89.0,AE_1000-2000kHz,6.852818748286404e-06,5.1879544593969605e-06,2.6371363032936576e-06,0.3848250479341938
sweep_6892,998.64,87.0,AE_20-500kHz,0.0004005277124018103,0.00016805982546453028,0.00024456442352738993,0.6106054985829353
sweep_6892,998.64,87.0,AE_500-1000kHz,2.278794194790287e-05,2.063956529413416e-05,5.061176870983014e-06,0.22209890136431493
sweep_6892,998.64,87.0,AE_1000-2000kHz,1.182937597556063e-06,1.1061261898550881e-06,2.2778988460706286e-07,0.19256289180230168
sweep_7571,998.57,95.0,AE_20-500kHz,0.0004852966095417561,0.0002527004511750737,0.00026012062094122034,0.5360033757228195
sweep_7571,998.57,95.0,AE_500-1000kHz,6.236404377997016e-05,5.5636341083365864e-05,1.4467858835365298e-05,0.23199038994985807
sweep_7571,998.57,95.0,AE_1000-2000kHz,1.8388087858790894e-06,1.6969391257293402e-06,3.7962789703012993e-07,0.2064531668248687
sweep_8046,1198.9,91.0,AE_20-500kHz,5.8670403190178055e-05,2.628069624524793e-05,3.4607670979476356e-05,0.5898659136071863
sweep_8046,1198.9,91.0,AE_500-1000kHz,4.701237557674681e-05,3.44112165479833e-05,1.739285919940442e-05,0.3699634189089404
sweep_8046,1198.9,91.0,AE_1000-2000kHz,9.150975559571755e-06,6.198238171877356e-06,4.251179549034534e-06,0.4645602560470044
sweep_8692,1198.87,88.0,AE_20-500kHz,0.0005058514745079621,0.0003397317254070953,0.00019691562658734674,0.38927558089829645
sweep_8692,1198.87,88.0,AE_500-1000kHz,8.01415451098724e-05,7.293619247632731e-05,1.6638266649547947e-05,0.20761100408954217
sweep_8692,1198.87,88.0,AE_1000-2000kHz,3.6119948488456555e-06,3.2559000072907103e-06,8.456133271351237e-07,0.23411255068798625
sweep_8027,1388.82,89.0,AE_20-500kHz,9.143201375566355e-05,5.911405601729535e-05,3.73143533530707e-05,0.40811037425892144
sweep_8027,1388.82,89.0,AE_500-1000kHz,7.411526701001733e-05,6.728009409079122e-05,1.562690277578966e-05,0.210845935071347
sweep_8027,1388.82,89.0,AE_1000-2000kHz,4.346151356993046e-06,3.778423920814164e-06,1.15510639477374e-06,0.2657768448204525
sweep_8038,1358.54,90.0,AE_20-500kHz,0.00010842924744929715,6.050851870078121e-05,5.2409340467016544e-05,0.4833505875942171
sweep_8038,1358.54,90.0,AE_500-1000kHz,5.3374139154311535e-05,3.088121960773348e-05,2.6850006861336452e-05,0.5030527384003255
sweep_8038,1358.54,90.0,AE_1000-2000kHz,8.495966302914566e-06,5.744641498845119e-06,3.9605583879009565e-06,0.466169267472527
sweep_8682,1547.71,87.0,AE_20-500kHz,0.0009557609925574803,0.0005638234720052641,0.0004558201389351509,0.4769185418578772
sweep_8682,1547.71,87.0,AE_500-1000kHz,8.196993262055218e-05,7.319949132992827e-05,1.930773417205759e-05,0.2355465419428269
sweep_8682,1547.71,87.0,AE_1000-2000kHz,2.224542807506932e-06,2.0651364856341817e-06,4.395253200345924e-07,0.19758006838590486
sweep_6917,1543.89,88.0,AE_20-500kHz,0.003196655944764061,0.001754770500706427,0.0015388192050604641,0.4813840562294362
sweep_6917,1543.89,88.0,AE_500-1000kHz,2.4237728059330186e-05,2.122772477896879e-05,5.917882873421451e-06,0.24415996659981476
sweep_6917,1543.89,88.0,AE_1000-2000kHz,1.0889493543495571e-06,1.0221360436055755e-06,2.068890180561269e-07,0.18998956859633226
sweep_8039,1793.19,91.0,AE_20-500kHz,4.5744485438919884e-05,1.555758195122479e-05,3.24626880070167e-05,0.7096524902518001
