step,n,feature,rho_temp
100.0,53,AE_500-1000kHz__complexity,0.010419897064119091
100.0,53,AE_500-1000kHz__mobility,-0.3598527732182691
100.0,53,AE_20-500kHz__complexity,0.5957250524626836
100.0,53,AE_20-500kHz__mobility,-0.8083153742044572
100.0,53,AE_20-500kHz__rms,-0.47377969463416497
200.0,578,AE_500-1000kHz__complexity,-0.1041482988889097
200.0,578,AE_500-1000kHz__mobility,-0.09143693282372131
200.0,578,AE_20-500kHz__complexity,0.03419145649629495
200.0,578,AE_20-500kHz__mobility,-0.6554047066800713
200.0,578,AE_20-500kHz__rms,-0.03287231024024522
400.0,1306,AE_500-1000kHz__complexity,0.7136146464938002
400.0,1306,AE_500-1000kHz__mobility,-0.7589128801936907
400.0,1306,AE_20-500kHz__complexity,0.678992857805198
400.0,1306,AE_20-500kHz__mobility,-0.6598192711189876
400.0,1306,AE_20-500kHz__rms,0.031271736071853
500.0,255,AE_500-1000kHz__complexity,0.22622778935843907
500.0,255,AE_500-1000kHz__mobility,-0.42855515738013245
500.0,255,AE_20-500kHz__complexity,0.5257118334642431
500.0,255,AE_20-500kHz__mobility,-0.530112388429388
500.0,255,AE_20-500kHz__rms,0.13276063939787489
600.0,149,AE_500-1000kHz__complexity,0.5518727968547796
600.0,149,AE_500-1000kHz__mobility,-0.6368796093273282
600.0,149,AE_20-500kHz__complexity,0.3224868827442671
600.0,149,AE_20-500kHz__mobility,-0.3207313922072835
600.0,149,AE_20-500kHz__rms,0.026539527745453952
700.0,129,AE_500-1000kHz__complexity,0.09536399681523224
700.0,129,AE_500-1000kHz__mobility,-0.22170617855506503
700.0,129,AE_20-500kHz__complexity,0.26017700903831714
700.0,129,AE_20-500kHz__mobility,-0.23452512388888058
700.0,129,AE_20-500kHz__rms,-0.17024846895633164
800.0,153,AE_500-1000kHz__complexity,0.3765830601867819
800.0,153,AE_500-1000kHz__mobility,-0.5367253236446039
800.0,153,AE_20-500kHz__complexity,0.29466713387804094
800.0,153,AE_20-500kHz__mobility,-0.2864859439087357
800.0,153,AE_20-500kHz__rms,0.11042760825057946
900.0,148,AE_500-1000kHz__complexity,0.20539154391227074
900.0,148,AE_500-1000kHz__mobility,-0.30558236011695156
900.0,148,AE_20-500kHz__complexity,0.5485306323989768
900.0,148,AE_20-500kHz__mobility,-0.5279905512760622
900.0,148,AE_20-500kHz__rms,0.26328632589705336
1000.0,265,AE_500-1000kHz__complexity,0.2905172649956017
1000.0,265,AE_500-1000kHz__mobility,-0.4084458690437547
1000.0,265,AE_20-500kHz__complexity,0.41841193017759526
1000.0,265,AE_20-500kHz__mobility,-0.4046277614367219
1000.0,265,AE_20-500kHz__rms,0.1675585171527878
1100.0,245,AE_500-1000kHz__complexity,0.3767404269566478
1100.0,245,AE_500-1000kHz__mobility,-0.6059073563939473
1100.0,245,AE_20-500kHz__complexity,0.46383720182786115
1100.0,245,AE_20-500kHz__mobility,-0.43494587683012864
1100.0,245,AE_20-500kHz__rms,0.3033819928560069
1200.0,54,AE_500-1000kHz__complexity,0.7954590605055539
1200.0,54,AE_500-1000kHz__mobility,-0.8115262420280237
1200.0,54,AE_20-500kHz__complexity,-0.23348935048567768
1200.0,54,AE_20-500kHz__mobility,0.3139015867513401
1200.0,54,AE_20-500kHz__rms,-0.42480712001570414
1300.0,279,AE_500-1000kHz__complexity,0.294885429686405
1300.0,279,AE_500-1000kHz__mobility,-0.5759985180548626
1300.0,279,AE_20-500kHz__complexity,0.3312763516003493
1300.0,279,AE_20-500kHz__mobility,-0.4088515333480263
1300.0,279,AE_20-500kHz__rms,0.24663175704875567
1500.0,270,AE_500-1000kHz__complexity,0.08526188348491605
1500.0,270,AE_500-1000kHz__mobility,-0.4351619894026009
1500.0,270,AE_20-500kHz__complexity,0.42608010307732946
1500.0,270,AE_20-500kHz__mobility,-0.5533468176934684
1500.0,270,AE_20-500kHz__rms,0.42881141710683407
1700.0,271,AE_500-1000kHz__complexity,0.13820039353880267
1700.0,271,AE_500-1000kHz__mobility,-0.5089372319579245
1700.0,271,AE_20-500kHz__complexity,0.4314669489397864
1700.0,271,AE_20-500kHz__mobility,-0.6229127267492336
1700.0,271,AE_20-500kHz__rms,0.47487630818121046
1900.0,280,AE_500-1000kHz__complexity,0.15201952555175868
1900.0,280,AE_500-1000kHz__mobility,-0.5173202868271133
1900.0,280,AE_20-500kHz__complexity,0.2266269345883843
1900.0,280,AE_20-500kHz__mobility,-0.6587938932488511
1900.0,280,AE_20-500kHz__rms,0.5918655515399105
2100.0,272,AE_500-1000kHz__complexity,0.09059833854870514
2100.0,272,AE_500-1000kHz__mobility,-0.4855227182069331
2100.0,272,AE_20-500kHz__complexity,0.10385800124998236
2100.0,272,AE_20-500kHz__mobility,-0.6862063574825245
2100.0,272,AE_20-500kHz__rms,0.6181097895669163
2300.0,276,AE_500-1000kHz__complexity,0.06688278922920926
2300.0,276,AE_500-1000kHz__mobility,-0.5218069375472758
2300.0,276,AE_20-500kHz__complexity,0.05568206914762171
2300.0,276,AE_20-500kHz__mobility,-0.6210163367858783
2300.0,276,AE_20-500kHz__rms,0.6144425229916299
2500.0,260,AE_500-1000kHz__complexity,0.10575880464850734
2500.0,260,AE_500-1000kHz__mobility,-0.4513234561938165
2500.0,260,AE_20-500kHz__complexity,-0.03276737372557437
2500.0,260,AE_20-500kHz__mobility,-0.6172213357299529
2500.0,260,AE_20-500kHz__rms,0.674090678836737
2600.0,231,AE_500-1000kHz__complexity,0.20027004426060185
2600.0,231,AE_500-1000kHz__mobility,-0.5090050698909994
2600.0,231,AE_20-500kHz__complexity,0.02831386590149254
2600.0,231,AE_20-500kHz__mobility,-0.6585323722807209
2600.0,231,AE_20-500kHz__rms,0.6492507520067246
2700.0,30,AE_500-1000kHz__complexity,0.09865022087151043
2700.0,30,AE_500-1000kHz__mobility,-0.599043422667724
2700.0,30,AE_20-500kHz__complexity,0.2410457885548219
2700.0,30,AE_20-500kHz__mobility,-0.4512912819054165
2700.0,30,AE_20-500kHz__rms,0.2912636611704098
2800.0,263,AE_500-1000kHz__complexity,0.14512806042145862
2800.0,263,AE_500-1000kHz__mobility,-0.3968153970731964
2800.0,263,AE_20-500kHz__complexity,-0.05799492226824782
2800.0,263,AE_20-500kHz__mobility,-0.6219443607849274
2800.0,263,AE_20-500kHz__rms,0.6410410798793984
3000.0,2696,AE_500-1000kHz__complexity,-0.004353184288990162
3000.0,2696,AE_500-1000kHz__mobility,-0.302190304734691
3000.0,2696,AE_20-500kHz__complexity,-0.01447155170346343
3000.0,2696,AE_20-500kHz__mobility,-0.5681333517316931
3000.0,2696,AE_20-500kHz__rms,0.6586613004995137
