model,target,feature_set,n_features,cv_r2_grouped,n_pooled,holdout_r2,holdout_mae,holdout_rmse
ElasticNet,AE,selected,12,0.5824,8548,0.5956,0.1665,0.2273
LightGBM,AE,selected,12,0.8472,8548,0.8532,0.0945,0.1369
ElasticNet,US,selected,12,0.5824,8548,0.5951,0.1657,0.2274
LightGBM,US,selected,12,0.7569,8548,0.7674,0.1115,0.1724
ElasticNet,Combined,selected,24,0.6951,8548,0.7067,0.1403,0.1935
LightGBM,Combined,selected,24,0.9058,8548,0.9109,0.0687,0.1067
ElasticNet,AE,full,42,0.7216,8548,0.7281,0.1355,0.1863
LightGBM,AE,full,42,0.8803,8548,0.8816,0.0774,0.123
ElasticNet,US,full,56,0.7752,8548,0.7866,0.1205,0.1651
LightGBM,US,full,56,0.8578,8548,0.8462,0.0847,0.1402
ElasticNet,Combined,full,98,0.8278,8548,0.8372,0.1063,0.1442
LightGBM,Combined,full,98,0.9099,8548,0.9094,0.0611,0.1075
