model,target,feature_set,fold,n_features,n_train,n_test,cv_r2_grouped,holdout_r2,holdout_mae,holdout_rmse,tuned_params,tuned_inner_cv_rmse
ElasticNet,AE,selected,0,12,6838,1710,0.588,0.3002,0.145,0.186,,
LightGBM,AE,selected,0,12,6838,1710,0.8533,0.6332,0.0868,0.1346,,
ElasticNet,US,selected,0,12,6838,1710,0.5607,0.4557,0.1264,0.164,,
LightGBM,US,selected,0,12,6838,1710,0.7463,0.7132,0.0811,0.1191,,
ElasticNet,Combined,selected,0,24,6838,1710,0.6924,0.5579,0.1151,0.1478,,
LightGBM,Combined,selected,0,24,6838,1710,0.9065,0.7993,0.056,0.0996,,
ElasticNet,AE,full,0,42,6838,1710,0.729,0.4896,0.1222,0.1588,,
LightGBM,AE,full,0,42,6838,1710,0.8833,0.5634,0.0774,0.1469,,
ElasticNet,US,full,0,56,6838,1710,0.7815,0.6104,0.1055,0.1388,,
LightGBM,US,full,0,56,6838,1710,0.8633,0.4808,0.0819,0.1602,,
ElasticNet,Combined,full,0,98,6838,1710,0.8352,0.6877,0.0953,0.1243,,
LightGBM,Combined,full,0,98,6838,1710,0.9197,0.5632,0.0621,0.1469,,
ElasticNet,AE,selected,1,11,6838,1710,0.577,0.6263,0.1851,0.2346,,
LightGBM,AE,selected,1,11,6838,1710,0.8412,0.858,0.0993,0.1446,,
ElasticNet,US,selected,1,12,6838,1710,0.5908,0.5835,0.1924,0.2477,,
LightGBM,US,selected,1,12,6838,1710,0.7292,0.8205,0.1041,0.1626,,
ElasticNet,Combined,selected,1,23,6838,1710,0.6893,0.727,0.1553,0.2005,,
LightGBM,Combined,selected,1,23,6838,1710,0.8992,0.9159,0.072,0.1113,,
ElasticNet,AE,full,1,42,6838,1710,0.7038,0.7792,0.1386,0.1804,,
LightGBM,AE,full,1,42,6838,1710,0.8787,0.8931,0.0802,0.1255,,
ElasticNet,US,full,1,56,6838,1710,0.7635,0.8201,0.1245,0.1628,,
LightGBM,US,full,1,56,6838,1710,0.8214,0.9253,0.0678,0.1049,,
ElasticNet,Combined,full,1,98,6838,1710,0.8119,0.8739,0.1056,0.1363,,
LightGBM,Combined,full,1,98,6838,1710,0.899,0.9377,0.0605,0.0958,,
ElasticNet,AE,selected,2,12,6838,1710,0.5867,0.5896,0.1405,0.1904,,
LightGBM,AE,selected,2,12,6838,1710,0.8501,0.87,0.077,0.1072,,
ElasticNet,US,selected,2,12,6838,1710,0.5934,0.5984,0.1479,0.1884,,
LightGBM,US,selected,2,12,6838,1710,0.759,0.7759,0.0925,0.1407,,
ElasticNet,Combined,selected,2,24,6838,1710,0.703,0.6972,0.1262,0.1636,,
LightGBM,Combined,selected,2,24,6838,1710,0.9086,0.9281,0.0555,0.0797,,
ElasticNet,AE,full,2,42,6838,1710,0.7306,0.7215,0.1163,0.1569,,
LightGBM,AE,full,2,42,6838,1710,0.8775,0.9254,0.0572,0.0812,,
ElasticNet,US,full,2,56,6838,1710,0.7839,0.7867,0.1062,0.1373,,
LightGBM,US,full,2,56,6838,1710,0.8513,0.8904,0.0674,0.0984,,
ElasticNet,Combined,full,2,98,6838,1710,0.8357,0.8317,0.0962,0.1219,,
LightGBM,Combined,full,2,98,6838,1710,0.906,0.9469,0.0479,0.0685,,
ElasticNet,AE,selected,3,11,6839,1709,0.6029,0.5364,0.2041,0.2972,,
LightGBM,AE,selected,3,11,6839,1709,0.8311,0.8948,0.1045,0.1416,,
ElasticNet,US,selected,3,12,6839,1709,0.6156,0.5114,0.2053,0.3051,,
LightGBM,US,selected,3,12,6839,1709,0.774,0.732,0.147,0.226,,
ElasticNet,Combined,selected,3,23,6839,1709,0.719,0.6429,0.1751,0.2608,,
LightGBM,Combined,selected,3,23,6839,1709,0.896,0.9305,0.0825,0.115,,
ElasticNet,AE,full,3,42,6839,1709,0.7327,0.6832,0.1703,0.2457,,
LightGBM,AE,full,3,42,6839,1709,0.8575,0.926,0.0855,0.1187,,
ElasticNet,US,full,3,56,6839,1709,0.7936,0.7379,0.1572,0.2235,,
LightGBM,US,full,3,56,6839,1709,0.8556,0.8646,0.1012,0.1606,,
ElasticNet,Combined,full,3,98,6839,1709,0.8364,0.8087,0.1346,0.1909,,
LightGBM,Combined,full,3,98,6839,1709,0.8939,0.9477,0.0685,0.0999,,
ElasticNet,AE,selected,4,11,6839,1709,0.5575,0.6322,0.158,0.2099,,
LightGBM,AE,selected,4,11,6839,1709,0.8604,0.8068,0.1046,0.1521,,
ElasticNet,US,selected,4,13,6839,1709,0.5517,0.6512,0.1567,0.2044,,
LightGBM,US,selected,4,13,6839,1709,0.7762,0.6907,0.1327,0.1925,,
ElasticNet,Combined,selected,4,24,6839,1709,0.6718,0.7459,0.1299,0.1745,,
LightGBM,Combined,selected,4,24,6839,1709,0.9186,0.8746,0.0773,0.1226,,
ElasticNet,AE,full,4,42,6839,1709,0.7121,0.7422,0.1302,0.1757,,
LightGBM,AE,full,4,42,6839,1709,0.9045,0.8529,0.0867,0.1327,,
ElasticNet,US,full,4,56,6839,1709,0.7537,0.8184,0.1088,0.1475,,
LightGBM,US,full,4,56,6839,1709,0.8972,0.7823,0.1055,0.1615,,
ElasticNet,Combined,full,4,98,6839,1709,0.8198,0.8447,0.1001,0.1364,,
LightGBM,Combined,full,4,98,6839,1709,0.9308,0.8965,0.0667,0.1114,,
