channel,target,feature,band,ftype,mean_abs_shap,frac
AE,RPM,AE_20-500kHz__center_frequency,20-500kHz,spectral,7.897512577535972,0.005256950042956325
AE,RPM,AE_20-500kHz__complexity,20-500kHz,complexity,8.295166790935854,0.00552164709961698
AE,RPM,AE_20-500kHz__crest_factor,20-500kHz,shape,4.272140057790156,0.0028437342314841163
AE,RPM,AE_20-500kHz__dominant_frequency,20-500kHz,spectral,7.251227309956923,0.004826752644496247
AE,RPM,AE_20-500kHz__margin_factor,20-500kHz,shape,17.088459523113922,0.011374869889997587
AE,RPM,AE_20-500kHz__mobility,20-500kHz,complexity,16.02319380980507,0.010665779707188901
AE,RPM,AE_20-500kHz__rms,20-500kHz,amplitude,48.35666412181673,0.03218843465415819
AE,RPM,AE_20-500kHz__shape_factor,20-500kHz,shape,72.03743506720286,0.047951452264625494
AE,RPM,AE_20-500kHz__skewness,20-500kHz,shape,3.7196842781144883,0.002475994084674044
AE,RPM,AE_20-500kHz__spectral_bandwidth,20-500kHz,spectral,2.294725628592676,0.001527475628986841
AE,RPM,AE_20-500kHz__spectral_flatness,20-500kHz,spectral,1.6201924571933437,0.0010784751178069608
AE,RPM,AE_20-500kHz__spectral_kurtosis,20-500kHz,spectral,3.3432947215327093,0.0022254517681896
AE,RPM,AE_20-500kHz__spectral_skewness,20-500kHz,spectral,4.068781655191888,0.0027083694627953857
AE,RPM,AE_500-1000kHz__center_frequency,500-1000kHz,spectral,12.4927239716412,0.008315735514770262
AE,RPM,AE_500-1000kHz__complexity,500-1000kHz,complexity,104.57525398083993,0.06961013110260426
AE,RPM,AE_500-1000kHz__crest_factor,500-1000kHz,shape,68.00229975010022,0.04526547936235813
AE,RPM,AE_500-1000kHz__dominant_frequency,500-1000kHz,spectral,8.123180215556564,0.00540716487170641
AE,RPM,AE_500-1000kHz__kurtosis,500-1000kHz,shape,7.068376953123857,0.004705038980634243
AE,RPM,AE_500-1000kHz__margin_factor,500-1000kHz,shape,12.653158910672854,0.008422528438662926
AE,RPM,AE_500-1000kHz__mobility,500-1000kHz,complexity,340.3182705849342,0.2265315983489668
AE,RPM,AE_500-1000kHz__rms,500-1000kHz,amplitude,17.20456068959148,0.01145215220213186
AE,RPM,AE_500-1000kHz__shape_factor,500-1000kHz,shape,7.7985209377759945,0.005191056624012143
AE,RPM,AE_500-1000kHz__skewness,500-1000kHz,shape,6.85190740079232,0.004560946823609397
AE,RPM,AE_500-1000kHz__spectral_bandwidth,500-1000kHz,spectral,5.351245540983363,0.003562036805938116
AE,RPM,AE_500-1000kHz__spectral_kurtosis,500-1000kHz,spectral,3.37949514274957,0.0022495484447067502
AE,RPM,AE_500-1000kHz__spectral_skewness,500-1000kHz,spectral,3.4532243504992923,0.002298626019201474
AE,RPM,AE__center_frequency,broadband,spectral,21.79419190067788,0.014507223245754321
AE,RPM,AE__complexity,broadband,complexity,12.118012830877493,0.00806631042956849
AE,RPM,AE__crest_factor,broadband,shape,5.9607916456165055,0.003967778916441322
AE,RPM,AE__kurtosis,broadband,shape,25.862813612925454,0.01721548624312028
AE,RPM,AE__margin_factor,broadband,shape,5.290867375731969,0.0035218463035114685
AE,RPM,AE__mobility,broadband,complexity,40.51332453681798,0.026967544663357487
AE,RPM,AE__rms,broadband,amplitude,582.7164097512738,0.3878830233188522
AE,RPM,AE__shape_factor,broadband,shape,4.992054216658942,0.00332294242915829
AE,RPM,AE__spectral_kurtosis,broadband,spectral,3.4275325209298706,0.0022815243478546284
AE,RPM,AE__spectral_skewness,broadband,spectral,6.082644721951347,0.004048889966102058
