channel,cluster,size,group_shap,sum_mean_abs,rep,members,rank_old
US,15,5,0.1804667981551868,0.2101564285610077,US_10-20kHz__rms,US_10-20kHz__rms;US__rms;US_0-10kHz__rms;US_20-100kHz__complexity;US_20-100kHz__rms,1
US,18,1,0.07920334076974103,0.07920334076974073,US_0-10kHz__complexity,US_0-10kHz__complexity,2
US,8,1,0.0625970628511193,0.06259706285111936,US_10-20kHz__mobility,US_10-20kHz__mobility,3
US,12,1,0.06225624351750558,0.0622562435175057,US_0-10kHz__mobility,US_0-10kHz__mobility,4
US,11,1,0.047998945086110745,0.047998945086110884,US__complexity,US__complexity,6
US,19,1,0.02450797080757257,0.024507970807572704,US_20-100kHz__dominant_frequency,US_20-100kHz__dominant_frequency,7
US,14,8,0.019907286716926636,0.0527667466238082,US_10-20kHz__shape_factor,US_10-20kHz__shape_factor;US_20-100kHz__kurtosis;US_20-100kHz__shape_factor;US_20-100kHz__margin_factor;US_10-20kHz__crest_factor;US_10-20kHz__margin_factor;US_10-20kHz__kurtosis;US_20-100kHz__crest_factor,5
US,13,8,0.009407386109428711,0.01634549710402721,US__shape_factor,US__shape_factor;US_0-10kHz__shape_factor;US__kurtosis;US_0-10kHz__kurtosis;US_0-10kHz__crest_factor;US__margin_factor;US__crest_factor;US_0-10kHz__margin_factor,8
US,10,2,0.008954048406101851,0.0091359559830103,US_0-10kHz__dominant_frequency,US_0-10kHz__dominant_frequency;US__dominant_frequency,9
US,16,1,0.004106750707822773,0.0041067507078227745,US_20-100kHz__mobility,US_20-100kHz__mobility,10
US,2,1,0.003441865393197855,0.0034418653931978646,US_20-100kHz__skewness,US_20-100kHz__skewness,13
US,9,1,0.003109326813752865,0.0031093268137528684,US_10-20kHz__complexity,US_10-20kHz__complexity,16
US,1,1,0.002724955958722688,0.0027249559587226866,US_10-20kHz__skewness,US_10-20kHz__skewness,17
US,5,2,0.002601027474801933,0.0038775505597465785,US__skewness,US__skewness;US_0-10kHz__skewness,11
US,17,1,0.002570931273833835,0.0025709312738338153,US__mobility,US__mobility,18
US,6,5,0.002487049539525979,0.0032460871761134068,US_10-20kHz__center_frequency,US_10-20kHz__center_frequency;US_10-20kHz__spectral_bandwidth;US_10-20kHz__spectral_flatness;US_10-20kHz__spectral_skewness;US_10-20kHz__spectral_kurtosis,15
US,7,5,0.0024261797179738168,0.003489356711668241,US_20-100kHz__spectral_bandwidth,US_20-100kHz__spectral_bandwidth;US_20-100kHz__center_frequency;US_20-100kHz__spectral_flatness;US_20-100kHz__spectral_skewness;US_20-100kHz__spectral_kurtosis,12
US,20,1,0.002306005687428004,0.0023060056874279968,US_10-20kHz__dominant_frequency,US_10-20kHz__dominant_frequency,20
US,3,5,0.002097636158038619,0.0033161056058127318,US_0-10kHz__center_frequency,US_0-10kHz__center_frequency;US_0-10kHz__spectral_skewness;US_0-10kHz__spectral_bandwidth;US_0-10kHz__spectral_flatness;US_0-10kHz__spectral_kurtosis,14
US,4,5,0.0017056816491748399,0.0023847224174098165,US__center_frequency,US__center_frequency;US__spectral_bandwidth;US__spectral_flatness;US__spectral_skewness;US__spectral_kurtosis,19
