channel,feature,column,rho,p_value
MIC_MCH,shape_factor,MIC_MCH__shape_factor,-0.6198677467388021,1.9499739332639036e-16
MIC_AMB,shape_factor,MIC_AMB__shape_factor,-0.6158148580077796,3.45963199719234e-16
MIC_AMB,margin_factor,MIC_AMB__margin_factor,-0.6106282501436218,7.120395577933564e-16
MIC_AMB,kurtosis,MIC_AMB__kurtosis,-0.6106135809496626,7.134812937091482e-16
MIC_MCH,spectral_skewness,MIC_MCH__spectral_skewness,0.6087820273038954,9.17719076562349e-16
MIC_AMB,crest_factor,MIC_AMB__crest_factor,-0.583492336918176,2.5296174798149396e-14
MIC_MCH,kurtosis,MIC_MCH__kurtosis,-0.5811850822683022,3.375364544473001e-14
MIC_MCH,mobility,MIC_MCH__mobility,-0.5450318059562016,2.3388855387345043e-12
MIC_MCH,complexity,MIC_MCH__complexity,0.5055758654041361,1.3866888755192386e-10
MIC_MCH,margin_factor,MIC_MCH__margin_factor,-0.42718788408426384,1.1461578260987267e-07
MIC_MCH,crest_factor,MIC_MCH__crest_factor,-0.40236132110782885,6.914706747698059e-07
MIC_AMB,dominant_frequency,MIC_AMB__dominant_frequency,-0.38074106597595947,2.9505397436096086e-06
MIC_AMB,spectral_kurtosis,MIC_AMB__spectral_kurtosis,-0.34422520984824756,2.73374368750268e-05
MIC_MCH,skewness,MIC_MCH__skewness,0.3270580617176697,7.105637131412918e-05
MIC_MCH,spectral_kurtosis,MIC_MCH__spectral_kurtosis,0.3188265483074024,0.00011014041698428666
MIC_AMB,skewness,MIC_AMB__skewness,0.31435034855069904,0.00013905100676882707
MIC_AMB,spectral_bandwidth,MIC_AMB__spectral_bandwidth,0.3087802460444642,0.00018489621093309758
MIC_AMB,center_frequency,MIC_AMB__center_frequency,0.3043669142618718,0.00023081201637872037
MIC_AMB,spectral_flatness,MIC_AMB__spectral_flatness,0.28855352317381755,0.0004967575618330757
MIC_MCH,center_frequency,MIC_MCH__center_frequency,-0.26398891008951175,0.001500970924242437
MIC_AMB,spectral_skewness,MIC_AMB__spectral_skewness,-0.24877695595378613,0.0028320842343673644
MIC_MCH,rms,MIC_MCH__rms,0.22858376266933203,0.006216505108872949
MIC_AMB,complexity,MIC_AMB__complexity,0.22433807881770226,0.007275416673581757
MIC_AMB,rms,MIC_AMB__rms,0.20311385075782776,0.015337316387549076
MIC_AMB,mobility,MIC_AMB__mobility,0.1631172456284078,0.05242867767274694
MIC_MCH,dominant_frequency,MIC_MCH__dominant_frequency,-0.15865585395520038,0.059314473222210035
MIC_MCH,spectral_bandwidth,MIC_MCH__spectral_bandwidth,0.10399620277442079,0.21808097033560223
MIC_MCH,spectral_flatness,MIC_MCH__spectral_flatness,0.015335594484810611,0.8562575891022991
