channel,target,feature,band,ftype,mean_abs_shap,frac
AE,RPM,AE__rms,broadband,amplitude,17.733317056795226,0.0135817345075069
AE,RPM,AE__skewness,broadband,shape,2.828182370509571,0.002166070903263615
AE,RPM,AE__kurtosis,broadband,shape,6.835624760201262,0.0052353228890372125
AE,RPM,AE__crest_factor,broadband,shape,2.6698777801515794,0.0020448273191853617
AE,RPM,AE__shape_factor,broadband,shape,46.24767583567199,0.035420539359761166
AE,RPM,AE__margin_factor,broadband,shape,4.1891224176848,0.003208398536732787
AE,RPM,AE__mobility,broadband,complexity,24.498026358872366,0.01876274409905807
AE,RPM,AE__complexity,broadband,complexity,20.012827723524765,0.015327584343913406
AE,RPM,AE__dominant_frequency,broadband,spectral,3.779667503864687,0.00289480193692644
AE,RPM,AE__center_frequency,broadband,spectral,2.2577595122003085,0.0017291908884442255
AE,RPM,AE__spectral_bandwidth,broadband,spectral,12.644084183594215,0.00968395218571582
AE,RPM,AE__spectral_skewness,broadband,spectral,4.425868288236803,0.0033897193550144287
AE,RPM,AE__spectral_kurtosis,broadband,spectral,5.793672428390963,0.004437304114839381
AE,RPM,AE__spectral_flatness,broadband,spectral,2.698605364155525,0.00206682943067607
AE,RPM,AE_50-200kHz__rms,50-200kHz,amplitude,4.819717293047317,0.0036913635765805494
AE,RPM,AE_50-200kHz__skewness,50-200kHz,shape,5.212894195061355,0.0039924930426886674
AE,RPM,AE_50-200kHz__kurtosis,50-200kHz,shape,6.095793792969452,0.004668695238655012
AE,RPM,AE_50-200kHz__crest_factor,50-200kHz,shape,3.608856773108754,0.0027639800501508146
AE,RPM,AE_50-200kHz__shape_factor,50-200kHz,shape,32.58827076909394,0.02495896510658618
AE,RPM,AE_50-200kHz__margin_factor,50-200kHz,shape,4.245634271665778,0.0032516802868328074
AE,RPM,AE_50-200kHz__mobility,50-200kHz,complexity,27.466140053304798,0.02103598672235113
AE,RPM,AE_50-200kHz__complexity,50-200kHz,complexity,140.92405866867438,0.10793204364576785
AE,RPM,AE_50-200kHz__dominant_frequency,50-200kHz,spectral,1.2913639983317775,0.0009890401734611763
AE,RPM,AE_50-200kHz__center_frequency,50-200kHz,spectral,13.226300002139931,0.010129864287114168
