channel,cluster,size,total_shap,rep,members
AE,4,2,0.11947073443069006,AE__shape_factor,AE__shape_factor;AE_50-200kHz__shape_factor
AE,3,2,0.11678417657357536,AE_50-200kHz__mobility,AE_50-200kHz__mobility;AE_50-200kHz__center_frequency
AE,10,12,0.059435365900096175,AE_200-600kHz__rms,AE_200-600kHz__rms;AE__complexity;AE_200-600kHz__spectral_skewness;AE__mobility;AE__center_frequency;AE__rms;AE__spectral_skewness;AE_200-600kHz__mobility;AE_50-200kHz__rms;AE__spectral_kurtosis;AE_200-600kHz__center_frequency;AE__spectral_bandwidth
AE,15,1,0.057740132868792565,AE_50-200kHz__complexity,AE_50-200kHz__complexity
AE,9,4,0.03114605908986652,AE_200-600kHz__shape_factor,AE_200-600kHz__shape_factor;AE_200-600kHz__kurtosis;AE_200-600kHz__crest_factor;AE_200-600kHz__margin_factor
AE,11,1,0.016665222606105687,AE_200-600kHz__spectral_bandwidth,AE_200-600kHz__spectral_bandwidth
AE,16,1,0.014043614068906071,AE_200-600kHz__complexity,AE_200-600kHz__complexity
AE,5,6,0.010593318562049368,AE__kurtosis,AE__kurtosis;AE_50-200kHz__margin_factor;AE_50-200kHz__kurtosis;AE__margin_factor;AE__crest_factor;AE_50-200kHz__crest_factor
AE,18,1,0.005398680035283555,AE_200-600kHz__skewness,AE_200-600kHz__skewness
AE,14,1,0.00367316423198623,AE_200-600kHz__dominant_frequency,AE_200-600kHz__dominant_frequency
AE,12,1,0.003473924416027011,AE_200-600kHz__spectral_kurtosis,AE_200-600kHz__spectral_kurtosis
AE,7,1,0.0034540138090263794,AE__skewness,AE__skewness
AE,6,2,0.0032184161425495793,AE__dominant_frequency,AE__dominant_frequency;AE_50-200kHz__dominant_frequency
AE,8,1,0.002767097356778587,AE_50-200kHz__skewness,AE_50-200kHz__skewness
AE,2,2,0.0026735312723362623,AE_50-200kHz__spectral_bandwidth,AE_50-200kHz__spectral_bandwidth;AE_50-200kHz__spectral_flatness
AE,17,1,0.002014120908326723,AE_200-600kHz__spectral_flatness,AE_200-600kHz__spectral_flatness
AE,13,1,0.0015950284648468688,AE__spectral_flatness,AE__spectral_flatness
AE,1,2,0.0013232406061576933,AE_50-200kHz__spectral_skewness,AE_50-200kHz__spectral_skewness;AE_50-200kHz__spectral_kurtosis
