channel,cluster,size,group_shap,sum_mean_abs,rep,members,rank_old
Combined,6,4,0.14925595255333807,0.15965318347773721,US__complexity,US__complexity;US_0-16kHz__complexity;US_0-16kHz__mobility;US__mobility,1
Combined,7,2,0.07805596517906964,0.08024767983636814,AE_50-200kHz__mobility,AE_50-200kHz__mobility;AE_50-200kHz__center_frequency,2
Combined,9,2,0.030972226187281748,0.03181765625693368,AE__shape_factor,AE__shape_factor;AE_50-200kHz__shape_factor,4
Combined,17,26,0.02923886906700569,0.04944552964780833,AE_200-600kHz__rms,AE_200-600kHz__rms;US__rms;US__shape_factor;AE__complexity;AE_200-600kHz__spectral_skewness;AE__center_frequency;US_0-16kHz__rms;AE__spectral_kurtosis;US_16-40kHz__kurtosis;US__kurtosis;AE__spectral_skewness;US_16-40kHz__crest_factor;US_16-40kHz__rms;AE__mobility;US__crest_factor;AE_200-600kHz__mobility;AE_200-600kHz__center_frequency;AE__spectral_bandwidth;AE__rms;US_0-16kHz__crest_factor;US_16-40kHz__margin_factor;AE_50-200kHz__rms;US_0-16kHz__margin_factor;US__margin_factor;US_0-16kHz__shape_factor;US_0-16kHz__kurtosis,3
Combined,24,1,0.028393939220353884,0.028393939220353902,US_16-40kHz__complexity,US_16-40kHz__complexity,5
Combined,23,1,0.020707218226660416,0.020707218226660447,AE_50-200kHz__complexity,AE_50-200kHz__complexity,6
Combined,11,1,0.013658607484294,0.013658607484294006,US_16-40kHz__shape_factor,US_16-40kHz__shape_factor,7
Combined,18,1,0.010202463529677058,0.010202463529677058,AE_200-600kHz__spectral_bandwidth,AE_200-600kHz__spectral_bandwidth,8
Combined,26,1,0.008272268462055305,0.008272268462055312,AE_200-600kHz__complexity,AE_200-600kHz__complexity,10
Combined,16,4,0.00818595383379372,0.008896093066307243,AE_200-600kHz__shape_factor,AE_200-600kHz__shape_factor;AE_200-600kHz__kurtosis;AE_200-600kHz__margin_factor;AE_200-600kHz__crest_factor,9
Combined,10,6,0.0034952742262093716,0.0046505457095243185,AE_50-200kHz__kurtosis,AE_50-200kHz__kurtosis;AE_50-200kHz__margin_factor;AE__kurtosis;AE__margin_factor;AE__crest_factor;AE_50-200kHz__crest_factor,11
Combined,8,1,0.003383358315044464,0.0033833583150444566,US_16-40kHz__skewness,US_16-40kHz__skewness,12
Combined,28,1,0.0031576927285651437,0.003157692728565142,US_16-40kHz__dominant_frequency,US_16-40kHz__dominant_frequency,13
Combined,13,1,0.002347826487999489,0.0023478264879994866,AE__skewness,AE__skewness,14
Combined,27,1,0.002299358972793201,0.002299358972793205,AE_200-600kHz__skewness,AE_200-600kHz__skewness,15
Combined,22,1,0.0021478197325589658,0.0021478197325589658,AE_200-600kHz__dominant_frequency,AE_200-600kHz__dominant_frequency,16
Combined,19,1,0.002140341606948004,0.0021403416069480066,US_16-40kHz__mobility,US_16-40kHz__mobility,17
Combined,12,2,0.0019624874130360517,0.0020962672469984184,AE__dominant_frequency,AE__dominant_frequency;AE_50-200kHz__dominant_frequency,19
Combined,20,1,0.0014316971216405787,0.0014316971216405774,AE_200-600kHz__spectral_kurtosis,AE_200-600kHz__spectral_kurtosis,22
Combined,3,10,0.0012921899295521625,0.002110028208564174,US__center_frequency,US__center_frequency;US_0-16kHz__center_frequency;US__spectral_flatness;US__spectral_bandwidth;US_0-16kHz__spectral_bandwidth;US__spectral_skewness;US_0-16kHz__spectral_skewness;US_0-16kHz__spectral_flatness;US__spectral_kurtosis;US_0-16kHz__spectral_kurtosis,18
Combined,4,3,0.0012409790038570704,0.0016104346678208826,AE_50-200kHz__spectral_kurtosis,AE_50-200kHz__spectral_kurtosis;AE_50-200kHz__spectral_skewness;AE_50-200kHz__spectral_flatness,21
Combined,2,5,0.0011548199404083257,0.0016746517458581453,US_16-40kHz__center_frequency,US_16-40kHz__center_frequency;US_16-40kHz__spectral_bandwidth;US_16-40kHz__spectral_flatness;US_16-40kHz__spectral_kurtosis;US_16-40kHz__spectral_skewness,20
Combined,25,1,0.001141675023855576,0.0011416750238555761,AE_200-600kHz__spectral_flatness,AE_200-600kHz__spectral_flatness,24
Combined,5,1,0.0011374438046628471,0.0011374438046628508,AE_50-200kHz__spectral_bandwidth,AE_50-200kHz__spectral_bandwidth,25
Combined,15,2,0.0011244346478822029,0.0011831484562120635,US__skewness,US__skewness;US_0-16kHz__skewness,23
Combined,14,1,0.0010341746578569416,0.0010341746578569413,AE_50-200kHz__skewness,AE_50-200kHz__skewness,26
Combined,21,1,0.0007359808894689636,0.0007359808894689607,AE__spectral_flatness,AE__spectral_flatness,27
Combined,1,2,0.0,0.0,US__dominant_frequency,US__dominant_frequency;US_0-16kHz__dominant_frequency,28
