channel,cluster,size,group_shap,sum_mean_abs,rep,members,rank_old
US,6,1,0.11366348498019549,0.11366348498019493,US_0-10kHz__complexity,US_0-10kHz__complexity,1
US,14,1,0.10153756045917743,0.1015375604591777,US__complexity,US__complexity,2
US,7,10,0.09285611692260151,0.10146464576686312,US__rms,US__rms;US_0-10kHz__rms;US__kurtosis;US__shape_factor;US_0-10kHz__shape_factor;US_0-10kHz__kurtosis;US_0-10kHz__margin_factor;US_0-10kHz__crest_factor;US__margin_factor;US__crest_factor,3
US,11,1,0.04733816576147771,0.047338165761477764,US_10-20kHz__mobility,US_10-20kHz__mobility,5
US,9,1,0.046312135594822564,0.046312135594822605,US_10-20kHz__rms,US_10-20kHz__rms,6
US,13,2,0.03687841533662444,0.040760275103047826,US_0-10kHz__mobility,US_0-10kHz__mobility;US__mobility,7
US,8,10,0.02570368138861268,0.07344918164548582,US_10-20kHz__shape_factor,US_10-20kHz__shape_factor;US_10-20kHz__margin_factor;US_20-100kHz__kurtosis;US_10-20kHz__kurtosis;US_20-100kHz__shape_factor;US_10-20kHz__crest_factor;US_20-100kHz__rms;US_20-100kHz__crest_factor;US_20-100kHz__margin_factor;US_20-100kHz__complexity,4
US,16,1,0.023080525190869484,0.023080525190869478,US_20-100kHz__dominant_frequency,US_20-100kHz__dominant_frequency,8
US,10,2,0.008028002418517262,0.00839087575684139,US__dominant_frequency,US__dominant_frequency;US_0-10kHz__dominant_frequency,9
US,15,1,0.0054944651423753845,0.005494465142375404,US_20-100kHz__mobility,US_20-100kHz__mobility,11
US,17,1,0.004800449335060525,0.004800449335060534,US_20-100kHz__skewness,US_20-100kHz__skewness,13
US,19,1,0.004253252634420033,0.004253252634420057,US_10-20kHz__skewness,US_10-20kHz__skewness,14
US,12,1,0.003994346177946006,0.00399434617794601,US_10-20kHz__complexity,US_10-20kHz__complexity,16
US,5,2,0.0037232826945344257,0.0055668421312773915,US_0-10kHz__skewness,US_0-10kHz__skewness;US__skewness,10
US,4,5,0.00350338585538017,0.00498400494072678,US_20-100kHz__spectral_skewness,US_20-100kHz__spectral_skewness;US_20-100kHz__center_frequency;US_20-100kHz__spectral_bandwidth;US_20-100kHz__spectral_flatness;US_20-100kHz__spectral_kurtosis,12
US,18,1,0.003382758581890925,0.0033827585818909114,US_10-20kHz__dominant_frequency,US_10-20kHz__dominant_frequency,18
US,2,5,0.002853719878334401,0.004018408651682911,US__center_frequency,US__center_frequency;US__spectral_skewness;US__spectral_bandwidth;US__spectral_flatness;US__spectral_kurtosis,15
US,3,5,0.002663437617119515,0.0036456257939307102,US_10-20kHz__center_frequency,US_10-20kHz__center_frequency;US_10-20kHz__spectral_bandwidth;US_10-20kHz__spectral_skewness;US_10-20kHz__spectral_flatness;US_10-20kHz__spectral_kurtosis,17
US,1,5,0.002190593345732111,0.003127654995273871,US_0-10kHz__center_frequency,US_0-10kHz__center_frequency;US_0-10kHz__spectral_skewness;US_0-10kHz__spectral_bandwidth;US_0-10kHz__spectral_flatness;US_0-10kHz__spectral_kurtosis,19
