sensor,band,stat,marg_kappa
AE,broadband,rms,0.0501459301925571
AE,broadband,skewness,-0.3465116552245303
AE,broadband,kurtosis,-0.473655754788085
AE,broadband,crest_factor,-0.4909711600847403
AE,broadband,shape_factor,-0.4700236518323897
AE,broadband,margin_factor,-0.5208354102526391
AE,broadband,mobility,0.1313046280281056
AE,broadband,complexity,-0.021235604295245
AE,broadband,dominant_frequency,0.3747875311858684
AE,broadband,center_frequency,0.0544356582110882
AE,broadband,spectral_bandwidth,-0.0549502897041283
AE,broadband,spectral_skewness,-0.0163153659634973
AE,broadband,spectral_kurtosis,0.0076624923224947
AE,broadband,spectral_flatness,0.0144581797558428
AE,50-200kHz,rms,0.0464532361214599
AE,50-200kHz,skewness,-0.3321599298926112
AE,50-200kHz,kurtosis,-0.4978712350627199
AE,50-200kHz,crest_factor,-0.5182371528502407
AE,50-200kHz,shape_factor,-0.5048630911622024
AE,50-200kHz,margin_factor,-0.5506683737884638
AE,50-200kHz,mobility,0.7358833125094382
AE,50-200kHz,complexity,-0.5513834005295595
AE,50-200kHz,dominant_frequency,0.382785863520664
AE,50-200kHz,center_frequency,0.5891292569908392
AE,50-200kHz,spectral_bandwidth,-0.0870825751348403
AE,50-200kHz,spectral_skewness,0.2085206947212578
AE,50-200kHz,spectral_kurtosis,0.2462194119431531
AE,50-200kHz,spectral_flatness,0.1199345800528254
AE,200-600kHz,rms,0.1461250010302109
AE,200-600kHz,skewness,0.0570613312589213
AE,200-600kHz,kurtosis,-0.3181333956169389
AE,200-600kHz,crest_factor,-0.3155172514891157
AE,200-600kHz,shape_factor,-0.3137572604800692
AE,200-600kHz,margin_factor,-0.3199683967546677
AE,200-600kHz,mobility,-0.0714685115141256
AE,200-600kHz,complexity,0.0658334814247284
AE,200-600kHz,dominant_frequency,0.2296847398458876
AE,200-600kHz,center_frequency,-0.0857018161095008
AE,200-600kHz,spectral_bandwidth,-0.2054528872537372
AE,200-600kHz,spectral_skewness,0.1025772393763346
AE,200-600kHz,spectral_kurtosis,0.062362286845263
AE,200-600kHz,spectral_flatness,0.0103857715462079
US,broadband,rms,0.2862465086643896
US,broadband,skewness,0.0945615877022939
US,broadband,kurtosis,-0.2757430384925935
US,broadband,crest_factor,-0.2414696145152748
US,broadband,shape_factor,-0.3363734087079224
US,broadband,margin_factor,-0.2756544846395922
US,broadband,mobility,0.5417936558834368
US,broadband,complexity,-0.8309959498487949
US,broadband,dominant_frequency,0.0271155054741052
US,broadband,center_frequency,0.0390055486024615
US,broadband,spectral_bandwidth,0.0487336659322857
US,broadband,spectral_skewness,-0.0469688099858727
US,broadband,spectral_kurtosis,-0.0478635535292531
US,broadband,spectral_flatness,0.0457331273026927
US,0-16kHz,rms,0.2865747939943577
US,0-16kHz,skewness,0.0940568615902953
US,0-16kHz,kurtosis,-0.2759478348538439
US,0-16kHz,crest_factor,-0.2404646131312597
US,0-16kHz,shape_factor,-0.3373513161105648
US,0-16kHz,margin_factor,-0.2748766388280125
US,0-16kHz,mobility,0.589820991022196
US,0-16kHz,complexity,-0.5417785655585264
US,0-16kHz,dominant_frequency,0.0271155054741052
US,0-16kHz,center_frequency,0.041702181093378
US,0-16kHz,spectral_bandwidth,0.0317730825194349
US,0-16kHz,spectral_skewness,-0.0317480484946058
US,0-16kHz,spectral_kurtosis,-0.031807960400594
US,0-16kHz,spectral_flatness,0.0312539823432714
US,16-40kHz,rms,-0.0940635136693993
US,16-40kHz,skewness,0.5630979224391949
US,16-40kHz,kurtosis,-0.273629678109452
US,16-40kHz,crest_factor,-0.1016161182745631
US,16-40kHz,shape_factor,-0.5785078106009771
US,16-40kHz,margin_factor,-0.2265799276367346
US,16-40kHz,mobility,-0.0557517919135193
US,16-40kHz,complexity,0.3366038103670359
US,16-40kHz,dominant_frequency,-0.1740557849229768
US,16-40kHz,center_frequency,0.2017511956567308
US,16-40kHz,spectral_bandwidth,0.20186047738978
US,16-40kHz,spectral_skewness,-0.2086458302316591
US,16-40kHz,spectral_kurtosis,-0.2055182243522298
US,16-40kHz,spectral_flatness,0.2059432072229179
