model,target,feature_set,fold,n_features,n_train,n_test,cv_r2_grouped,holdout_r2,holdout_mae,holdout_rmse,tuned_params,tuned_inner_cv_rmse
ElasticNet,AE,full,0,42,3216,804,0.9091,0.9168,0.0696,0.0888,"{""alpha"": 0.0001, ""l1_ratio"": 0.1}",0.1001
LightGBM,AE,full,0,42,3216,804,0.961,0.9594,0.0428,0.062,"{""min_child_samples"": 10, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""random_state"": 42, ""verbose"": -1, ""n_estimators"": 500, ""learning_rate"": 0.05, ""num_leaves"": 31, ""max_depth"": -1}",0.0648
ElasticNet,US,full,0,42,3216,804,0.8413,0.8937,0.0773,0.1004,"{""alpha"": 0.001, ""l1_ratio"": 0.1}",0.1273
LightGBM,US,full,0,42,3216,804,0.9386,0.933,0.053,0.0797,"{""min_child_samples"": 10, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""random_state"": 42, ""verbose"": -1, ""n_estimators"": 500, ""learning_rate"": 0.05, ""num_leaves"": 63, ""max_depth"": -1}",0.0809
ElasticNet,Combined,full,0,84,3216,804,0.944,0.9462,0.0541,0.0714,"{""alpha"": 0.0001, ""l1_ratio"": 0.3}",0.078
LightGBM,Combined,full,0,84,3216,804,0.9661,0.9613,0.0382,0.0606,"{""min_child_samples"": 10, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""random_state"": 42, ""verbose"": -1, ""n_estimators"": 500, ""learning_rate"": 0.05, ""num_leaves"": 31, ""max_depth"": -1}",0.0606
ElasticNet,AE,full,1,42,3216,804,0.9118,0.9106,0.0831,0.113,"{""alpha"": 0.0001, ""l1_ratio"": 0.1}",0.0935
LightGBM,AE,full,1,42,3216,804,0.9556,0.9736,0.0414,0.0614,"{""min_child_samples"": 10, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""random_state"": 42, ""verbose"": -1, ""n_estimators"": 500, ""learning_rate"": 0.05, ""num_leaves"": 31, ""max_depth"": -1}",0.0651
ElasticNet,US,full,1,42,3216,804,0.8962,0.9066,0.0839,0.1155,"{""alpha"": 0.0001, ""l1_ratio"": 0.1}",0.1025
LightGBM,US,full,1,42,3216,804,0.9332,0.952,0.0518,0.0828,"{""min_child_samples"": 10, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""random_state"": 42, ""verbose"": -1, ""n_estimators"": 500, ""learning_rate"": 0.1, ""num_leaves"": 31, ""max_depth"": -1}",0.0795
ElasticNet,Combined,full,1,84,3216,804,0.9469,0.9463,0.0626,0.0875,"{""alpha"": 0.0001, ""l1_ratio"": 0.1}",0.0719
