feature,ElasticNet_rank,ElasticNet_in_top10,Polynomial_rank,Polynomial_in_top10,LightGBM_rank,LightGBM_in_top10,n_models_in_top_k
AE_1000-2000kHz__complexity,1.0,True,1.0,True,1.0,True,3
AE_1000-2000kHz__mobility,2.0,True,,False,3.0,True,2
dominant_frequency,5.0,True,,False,8.0,True,2
AE_500-1000kHz__normalized_frequency_std,17.0,False,10.0,True,2.0,True,2
AE_500-1000kHz__dominant_frequency,20.0,False,4.0,True,5.0,True,2
AE_500-1000kHz__spectral_std,3.0,True,,False,11.0,False,1
shape_factor,4.0,True,16.0,False,13.0,False,1
AE_1000-2000kHz__peak_frequency,6.0,True,,False,32.0,False,1
AE_1000-2000kHz__spectral_kurtosis,7.0,True,,False,29.0,False,1
peak_frequency,8.0,True,,False,15.0,False,1
peak,9.0,True,,False,16.0,False,1
frequency_kurtosis,10.0,True,,False,25.0,False,1
AE_1000-2000kHz__dominant_frequency,11.0,False,,False,10.0,True,1
AE_1000-2000kHz__crest_factor,18.0,False,,False,9.0,True,1
AE_20-500kHz__dominant_frequency,23.0,False,,False,7.0,True,1
AE_1000-2000kHz__kurtosis,29.0,False,,False,4.0,True,1
AE_500-1000kHz__complexity,33.0,False,,False,6.0,True,1
AE_1000-2000kHz__complexity shape_factor,,False,8.0,True,,False,1
shape_factor AE_500-1000kHz__dominant_frequency,,False,9.0,True,,False,1
AE_1000-2000kHz__complexity AE_500-1000kHz__normalized_frequency_std,,False,5.0,True,,False,1
AE_500-1000kHz__dominant_frequency^2,,False,6.0,True,,False,1
AE_1000-2000kHz__complexity AE_500-1000kHz__dominant_frequency,,False,2.0,True,,False,1
AE_500-1000kHz__normalized_frequency_std shape_factor,,False,7.0,True,,False,1
AE_1000-2000kHz__complexity^2,,False,3.0,True,,False,1
