feature,ElasticNet_rank,ElasticNet_in_top10,Polynomial_rank,Polynomial_in_top10,LightGBM_rank,LightGBM_in_top10,n_models_in_top_k
AE__AE_1000-2000kHz__complexity,1.0,True,1.0,True,1.0,True,3
UL__spectral_mean,8.0,True,5.0,True,9.0,True,3
AE__AE_1000-2000kHz__mobility,2.0,True,,False,4.0,True,2
AE__AE_500-1000kHz__spectral_std,4.0,True,,False,10.0,True,2
UL__mobility,9.0,True,,False,3.0,True,2
AE__AE_500-1000kHz__dominant_frequency,22.0,False,9.0,True,5.0,True,2
AE__AE_1000-2000kHz__peak_frequency,3.0,True,,False,41.0,False,1
AE__peak_frequency,5.0,True,,False,15.0,False,1
AE__shape_factor,6.0,True,17.0,False,20.0,False,1
AE__AE_1000-2000kHz__rms_frequency,7.0,True,,False,26.0,False,1
AE__frequency_kurtosis,10.0,True,,False,35.0,False,1
AE__AE_500-1000kHz__normalized_frequency_std,16.0,False,11.0,False,2.0,True,1
AE__AE_1000-2000kHz__crest_factor,19.0,False,,False,8.0,True,1
AE__AE_500-1000kHz__complexity,24.0,False,,False,7.0,True,1
AE__AE_1000-2000kHz__kurtosis,45.0,False,,False,6.0,True,1
AE__AE_500-1000kHz__normalized_frequency_std AE__AE_500-1000kHz__dominant_frequency,,False,10.0,True,,False,1
AE__AE_1000-2000kHz__complexity AE__AE_500-1000kHz__dominant_frequency,,False,2.0,True,,False,1
AE__AE_500-1000kHz__normalized_frequency_std UL__spectral_mean,,False,8.0,True,,False,1
AE__AE_1000-2000kHz__complexity^2,,False,3.0,True,,False,1
AE__AE_500-1000kHz__dominant_frequency^2,,False,7.0,True,,False,1
AE__AE_1000-2000kHz__complexity AE__AE_500-1000kHz__normalized_frequency_std,,False,4.0,True,,False,1
UL__spectral_mean AE__AE_500-1000kHz__dominant_frequency,,False,6.0,True,,False,1
