,mean_abs_shap
AE_1000-2000kHz__complexity,0.35110171552576064
AE_1000-2000kHz__mobility,0.10397562312250141
AE_500-1000kHz__spectral_std,0.09069560727911796
shape_factor,0.06877876461565034
dominant_frequency,0.047852456883088236
AE_1000-2000kHz__peak_frequency,0.047573752188054305
AE_1000-2000kHz__spectral_kurtosis,0.03778739218623902
peak_frequency,0.034644286622204166
peak,0.0283331571339546
frequency_kurtosis,0.02290406351864779
AE_1000-2000kHz__dominant_frequency,0.01954736325207937
AE_20-500kHz__skewness,0.0171685608160392
AE_1000-2000kHz__frequency_kurtosis,0.016827403741237548
AE_20-500kHz__complexity,0.01592346477744989
margin_factor,0.014047803831166958
frequency_skewness,0.012566411866328734
AE_500-1000kHz__normalized_frequency_std,0.009974475284308308
AE_1000-2000kHz__crest_factor,0.008919651919696
AE_500-1000kHz__skewness,0.008704344232279131
AE_500-1000kHz__dominant_frequency,0.006540580943312752
AE_20-500kHz__frequency_skewness,0.0054704501197809854
AE_500-1000kHz__peak,0.003439975850866963
AE_20-500kHz__dominant_frequency,0.0026618892015730536
AE_1000-2000kHz__skewness,0.0024343481440218767
AE_20-500kHz__spectral_flatness,0.0023415719113867636
AE_500-1000kHz__spectral_kurtosis,0.001636545380826255
skewness,0.0014528879678928155
AE_500-1000kHz__frequency_kurtosis,0.0012390677166847553
AE_1000-2000kHz__kurtosis,0.00017769655972749642
AE_500-1000kHz__shape_factor,0.0
AE_500-1000kHz__crest_factor,0.0
AE_20-500kHz__rms_frequency,0.0
AE_500-1000kHz__complexity,0.0
AE_1000-2000kHz__peak,0.0
AE_1000-2000kHz__impulse_factor,0.0
AE_1000-2000kHz__rms_frequency,0.0
