,mean_abs_shap
AE__AE_1000-2000kHz__complexity,0.34465544597024794
AE__AE_1000-2000kHz__mobility,0.1273077584204814
AE__AE_1000-2000kHz__peak_frequency,0.10483940155740487
AE__AE_500-1000kHz__spectral_std,0.09277657003868116
AE__peak_frequency,0.08575320090917792
AE__shape_factor,0.0772642291293412
AE__AE_1000-2000kHz__rms_frequency,0.0746858948068281
UL__spectral_mean,0.07106105185660437
UL__mobility,0.048490449087221776
AE__frequency_kurtosis,0.04766612614882574
AE__AE_1000-2000kHz__spectral_kurtosis,0.04267769655696035
AE__dominant_frequency,0.03989422950802925
AE__peak,0.03266067205955437
AE__AE_1000-2000kHz__frequency_kurtosis,0.032496451820274955
AE__frequency_skewness,0.027590313253709055
AE__AE_500-1000kHz__normalized_frequency_std,0.027498196025090925
AE__AE_20-500kHz__complexity,0.02185962404745796
AE__AE_1000-2000kHz__dominant_frequency,0.01989350299105709
AE__AE_1000-2000kHz__crest_factor,0.016864186573967474
AE__AE_20-500kHz__skewness,0.015646017725883928
AE__margin_factor,0.014902910738350355
AE__AE_500-1000kHz__dominant_frequency,0.013983668230805907
UL__kurtosis,0.011682430790858536
AE__AE_500-1000kHz__complexity,0.01129340856784873
UL__complexity,0.008222208656318852
AE__AE_500-1000kHz__skewness,0.007114538084850815
AE__AE_20-500kHz__frequency_skewness,0.006588828425931331
AE__AE_20-500kHz__spectral_flatness,0.006230349407383545
AE__AE_20-500kHz__rms_frequency,0.005385233088004245
AE__AE_1000-2000kHz__impulse_factor,0.005267150462869371
AE__AE_500-1000kHz__shape_factor,0.005257599500455724
UL__normalized_frequency_std,0.0048189465271114154
AE__AE_500-1000kHz__frequency_kurtosis,0.004806430923438764
UL__crest_factor,0.004393128831572608
AE__AE_1000-2000kHz__skewness,0.0038407397218597045
UL__dominant_frequency,0.0036240851289590266
AE__AE_20-500kHz__dominant_frequency,0.0027210520459704543
AE__AE_500-1000kHz__crest_factor,0.0020202758763205315
AE__AE_500-1000kHz__spectral_kurtosis,0.0017151694878017167
UL__skewness,0.0016550332493716821
AE__AE_1000-2000kHz__peak,0.001186279293730004
AE__skewness,0.0009792124035278974
AE__AE_500-1000kHz__peak,0.0008094196239722823
UL__spectral_kurtosis,0.0007735841146108779
AE__AE_1000-2000kHz__kurtosis,0.00026394953902905493
