,mean_abs_shap
AE_1000-2000kHz__complexity,0.18090519485002193
AE_500-1000kHz__normalized_frequency_std,0.06271271320336758
AE_1000-2000kHz__mobility,0.030495229017987718
AE_1000-2000kHz__kurtosis,0.016520514652271435
AE_500-1000kHz__dominant_frequency,0.015053441505496203
AE_500-1000kHz__complexity,0.014760179290996914
AE_20-500kHz__dominant_frequency,0.013689080184184972
dominant_frequency,0.012507660614508651
AE_1000-2000kHz__crest_factor,0.011195030908205705
AE_1000-2000kHz__dominant_frequency,0.01034085213414494
AE_500-1000kHz__spectral_std,0.008069538168596463
AE_500-1000kHz__crest_factor,0.007489688168375163
shape_factor,0.006597458455976725
AE_500-1000kHz__shape_factor,0.006501406724797021
peak_frequency,0.006445777847422246
peak,0.005626676272544679
frequency_skewness,0.005534931717233006
margin_factor,0.0041715490659142715
AE_1000-2000kHz__peak,0.0035117038336157395
AE_500-1000kHz__peak,0.003477848288373679
AE_20-500kHz__complexity,0.002952636197612712
AE_1000-2000kHz__rms_frequency,0.0028657150613771586
AE_1000-2000kHz__impulse_factor,0.002478890461426778
AE_20-500kHz__skewness,0.002067321283352923
frequency_kurtosis,0.0018250355435461335
AE_1000-2000kHz__skewness,0.0016827174853956386
skewness,0.0015096711857038691
AE_500-1000kHz__skewness,0.0012966175031240133
AE_1000-2000kHz__spectral_kurtosis,0.0012554707876566205
AE_1000-2000kHz__frequency_kurtosis,0.0011006566678334775
AE_500-1000kHz__frequency_kurtosis,0.0010470395580206462
AE_1000-2000kHz__peak_frequency,0.0009213809313185656
AE_500-1000kHz__spectral_kurtosis,0.0007496578920505657
AE_20-500kHz__frequency_skewness,0.0007335956271139079
AE_20-500kHz__rms_frequency,0.0007011352756403861
AE_20-500kHz__spectral_flatness,0.000573755485251644
