,mean_abs_shap
AE__AE_1000-2000kHz__complexity,0.17684391572630903
AE__AE_500-1000kHz__normalized_frequency_std,0.0595135552045128
UL__mobility,0.033178508588239695
AE__AE_1000-2000kHz__mobility,0.025666486654479712
AE__AE_500-1000kHz__dominant_frequency,0.015915489120272075
AE__AE_1000-2000kHz__kurtosis,0.013635196434065164
AE__AE_500-1000kHz__complexity,0.013224981438330131
AE__AE_1000-2000kHz__crest_factor,0.01021531503480317
UL__spectral_mean,0.009027163538686812
AE__AE_500-1000kHz__spectral_std,0.007328572013960275
AE__AE_20-500kHz__dominant_frequency,0.007158177522825735
AE__AE_1000-2000kHz__dominant_frequency,0.006719343489241059
AE__AE_500-1000kHz__shape_factor,0.006207084207093864
AE__dominant_frequency,0.00613958064235811
AE__peak_frequency,0.005254531039109329
AE__peak,0.004824068007673463
UL__dominant_frequency,0.004729118781743511
UL__spectral_kurtosis,0.0047275874955900864
AE__AE_500-1000kHz__crest_factor,0.004686589588751564
AE__shape_factor,0.0043266174663442285
AE__frequency_skewness,0.004086896804957549
AE__AE_500-1000kHz__peak,0.0027802801247906457
AE__margin_factor,0.0023628135315697735
UL__kurtosis,0.002228892899723934
AE__AE_1000-2000kHz__peak,0.0021212628494411195
AE__AE_1000-2000kHz__rms_frequency,0.0021183993009366345
AE__AE_1000-2000kHz__impulse_factor,0.002000378662441523
UL__skewness,0.001960523732090051
AE__AE_20-500kHz__complexity,0.0017530376967707017
UL__complexity,0.0016733225015498668
AE__AE_1000-2000kHz__skewness,0.001565369348879687
UL__crest_factor,0.0015586941447160662
AE__AE_20-500kHz__skewness,0.0015535860759127579
UL__normalized_frequency_std,0.00139097928093909
AE__frequency_kurtosis,0.0013081754973244813
AE__AE_500-1000kHz__skewness,0.0011954770882207147
AE__AE_1000-2000kHz__frequency_kurtosis,0.0011257078591048867
AE__skewness,0.0009508440517098449
AE__AE_500-1000kHz__frequency_kurtosis,0.0008262859404031194
AE__AE_1000-2000kHz__spectral_kurtosis,0.0007699967859090186
AE__AE_1000-2000kHz__peak_frequency,0.0007373432504645952
AE__AE_500-1000kHz__spectral_kurtosis,0.0006555358818842826
AE__AE_20-500kHz__frequency_skewness,0.0005575734652983613
AE__AE_20-500kHz__rms_frequency,0.0004985209165268048
AE__AE_20-500kHz__spectral_flatness,0.00044937925944887565
