,mean_abs_shap
AE_1000-2000kHz__complexity,0.39737568803570816
AE_1000-2000kHz__complexity AE_500-1000kHz__dominant_frequency,0.2984369811444463
AE_1000-2000kHz__complexity^2,0.22042935830122543
AE_500-1000kHz__dominant_frequency,0.1225295369698489
AE_1000-2000kHz__complexity AE_500-1000kHz__normalized_frequency_std,0.09352993543525444
AE_500-1000kHz__dominant_frequency^2,0.07837981994861026
AE_500-1000kHz__normalized_frequency_std shape_factor,0.0735039937599153
AE_1000-2000kHz__complexity shape_factor,0.0667060642776533
shape_factor AE_500-1000kHz__dominant_frequency,0.04049168205591488
AE_500-1000kHz__normalized_frequency_std,0.0381649301044149
AE_500-1000kHz__peak^2,0.031493961526780176
AE_500-1000kHz__dominant_frequency AE_500-1000kHz__peak,0.026194791304258915
AE_500-1000kHz__normalized_frequency_std AE_500-1000kHz__dominant_frequency,0.02132460437010582
AE_500-1000kHz__normalized_frequency_std^2,0.014678983011666332
shape_factor^2,0.01171315527732258
shape_factor,0.011085827650690628
shape_factor AE_500-1000kHz__peak,0.009480265271911937
AE_500-1000kHz__peak,0.006096413969611645
AE_500-1000kHz__normalized_frequency_std AE_500-1000kHz__peak,0.0034399919717919003
AE_1000-2000kHz__complexity AE_500-1000kHz__peak,0.0016657716512863587
