,mean_abs_shap
AE__AE_1000-2000kHz__complexity,0.432341126559547
AE__AE_1000-2000kHz__complexity AE__AE_500-1000kHz__dominant_frequency,0.35046380772692487
AE__AE_1000-2000kHz__complexity^2,0.26937938707804343
AE__AE_1000-2000kHz__complexity AE__AE_500-1000kHz__normalized_frequency_std,0.1301934568458222
UL__spectral_mean,0.12343111947509307
UL__spectral_mean AE__AE_500-1000kHz__dominant_frequency,0.1218729311409994
AE__AE_500-1000kHz__dominant_frequency^2,0.08775904392804888
AE__AE_500-1000kHz__normalized_frequency_std UL__spectral_mean,0.07214242136897421
AE__AE_500-1000kHz__dominant_frequency,0.06384008499812831
AE__AE_500-1000kHz__normalized_frequency_std AE__AE_500-1000kHz__dominant_frequency,0.05833825532610822
AE__AE_500-1000kHz__normalized_frequency_std,0.038050222587778196
AE__AE_1000-2000kHz__complexity UL__spectral_mean,0.03482419935281201
AE__AE_500-1000kHz__normalized_frequency_std AE__shape_factor,0.03350697889101929
AE__AE_500-1000kHz__normalized_frequency_std^2,0.0332823153109874
AE__AE_1000-2000kHz__complexity AE__shape_factor,0.02684669543170662
AE__shape_factor UL__spectral_mean,0.024994547867304
AE__shape_factor,0.02247873547869109
AE__shape_factor AE__AE_500-1000kHz__dominant_frequency,0.01314035376026973
UL__spectral_mean^2,0.007968362960088956
AE__shape_factor^2,0.0025398220335142037
