file,sweep,rpm,temperature_c,kappa,viscosity_40c_cst,viscosity_100c_cst
scope_20260424_115654,sweep_000,1031.8,33.0,1.3039,22.0,4.1
scope_20260424_115654,sweep_001,1031.8,34.0,1.2472,22.0,4.1
scope_20260424_115654,sweep_002,1031.8,34.0,1.2472,22.0,4.1
scope_20260424_115654,sweep_003,1031.8,35.0,1.1937,22.0,4.1
scope_20260424_115654,sweep_004,1031.8,36.0,1.1433,22.0,4.1
scope_20260424_115654,sweep_005,1031.8,36.0,1.1433,22.0,4.1
scope_20260424_115654,sweep_050,515.5,49.0,0.382,22.0,4.1
scope_20260424_115654,sweep_051,481.2,49.0,0.3608,22.0,4.1
scope_20260424_115654,sweep_052,456.8,49.0,0.3455,22.0,4.1
scope_20260424_115654,sweep_053,435.1,49.0,0.3318,22.0,4.1
scope_20260424_115654,sweep_054,413.9,48.0,0.33,22.0,4.1
scope_20260424_115654,sweep_055,401.4,48.0,0.3217,22.0,4.1
scope_20260424_115654,sweep_056,381.9,48.0,0.3087,22.0,4.1
scope_20260424_115654,sweep_057,364.2,48.0,0.2968,22.0,4.1
scope_20260424_115654,sweep_058,364.0,48.0,0.2966,22.0,4.1
scope_20260424_115654,sweep_059,364.7,48.0,0.2971,22.0,4.1
scope_20260424_115654,sweep_060,520.6,48.0,0.3992,22.0,4.1
scope_20260424_115654,sweep_061,484.5,47.0,0.39,22.0,4.1
scope_20260424_115654,sweep_062,467.1,47.0,0.3783,22.0,4.1
scope_20260424_115654,sweep_063,450.9,47.0,0.3673,22.0,4.1
scope_20260424_115654,sweep_064,435.1,47.0,0.3566,22.0,4.1
scope_20260424_115654,sweep_065,420.6,47.0,0.3468,22.0,4.1
scope_20260424_115654,sweep_066,406.9,47.0,0.3374,22.0,4.1
scope_20260424_115654,sweep_067,398.1,47.0,0.3313,22.0,4.1
scope_20260424_115654,sweep_068,386.0,47.0,0.3229,22.0,4.1
scope_20260424_115654,sweep_069,374.6,46.0,0.3268,22.0,4.1
scope_20260424_115654,sweep_070,366.6,46.0,0.321,22.0,4.1
scope_20260424_115654,sweep_071,542.9,46.0,0.4447,22.0,4.1
scope_20260424_115654,sweep_072,527.7,46.0,0.4343,22.0,4.1
scope_20260424_115654,sweep_073,512.9,46.0,0.4242,22.0,4.1
scope_20260424_115654,sweep_074,500.5,46.0,0.4156,22.0,4.1
scope_20260424_115654,sweep_075,487.2,46.0,0.4064,22.0,4.1
scope_20260424_115654,sweep_076,479.3,46.0,0.401,22.0,4.1
scope_20260424_115654,sweep_077,468.5,45.0,0.4084,22.0,4.1
scope_20260424_115654,sweep_078,464.6,45.0,0.4057,22.0,4.1
scope_20260424_115654,sweep_079,454.5,45.0,0.3983,22.0,4.1
scope_20260424_115654,sweep_080,445.7,45.0,0.3919,22.0,4.1
scope_20260424_115654,sweep_081,619.7,45.0,0.5152,22.0,4.1
scope_20260424_115654,sweep_082,613.6,45.0,0.5109,22.0,4.1
scope_20260424_115654,sweep_083,601.7,45.0,0.5027,22.0,4.1
scope_20260424_115654,sweep_084,588.6,45.0,0.4936,22.0,4.1
scope_20260424_115654,sweep_085,577.1,44.0,0.5044,22.0,4.1
scope_20260424_115654,sweep_086,568.7,44.0,0.4983,22.0,4.1
scope_20260424_115654,sweep_087,558.5,44.0,0.4908,22.0,4.1
scope_20260424_115654,sweep_088,549.1,44.0,0.484,22.0,4.1
scope_20260424_115654,sweep_089,539.2,44.0,0.4767,22.0,4.1
scope_20260424_115654,sweep_090,530.9,44.0,0.4706,22.0,4.1
scope_20260424_115654,sweep_091,736.2,44.0,0.6173,22.0,4.1
scope_20260424_115654,sweep_092,699.8,44.0,0.5919,22.0,4.1
scope_20260424_115654,sweep_093,686.7,44.0,0.5827,22.0,4.1
