feature,coefficient,abs_coefficient
AE_1000-2000kHz__complexity,0.43156611552758006,0.43156611552758006
AE_1000-2000kHz__mobility,-0.15098945238204053,0.15098945238204053
AE_500-1000kHz__spectral_std,-0.12809112482801835,0.12809112482801835
shape_factor,0.08114124441224525,0.08114124441224525
AE_1000-2000kHz__peak_frequency,-0.06415759375717789,0.06415759375717789
dominant_frequency,-0.051860429194669225,0.051860429194669225
AE_1000-2000kHz__spectral_kurtosis,0.050949845574812594,0.050949845574812594
peak_frequency,-0.04277713117185656,0.04277713117185656
peak,-0.038189223478763384,0.038189223478763384
frequency_kurtosis,0.0287270330803453,0.0287270330803453
AE_20-500kHz__skewness,-0.02686831349839829,0.02686831349839829
AE_1000-2000kHz__frequency_kurtosis,0.025348228155297865,0.025348228155297865
AE_1000-2000kHz__dominant_frequency,0.024541503609560145,0.024541503609560145
AE_20-500kHz__complexity,-0.01873290404369428,0.01873290404369428
margin_factor,0.01802042277426361,0.01802042277426361
frequency_skewness,-0.016318142029385484,0.016318142029385484
AE_500-1000kHz__normalized_frequency_std,-0.01318221343386498,0.01318221343386498
AE_1000-2000kHz__crest_factor,0.012730280197304664,0.012730280197304664
AE_500-1000kHz__skewness,0.011551512885543526,0.011551512885543526
AE_500-1000kHz__spectral_kurtosis,-0.010370951369072982,0.010370951369072982
AE_500-1000kHz__dominant_frequency,-0.008795321532751813,0.008795321532751813
AE_20-500kHz__frequency_skewness,-0.008687883750663579,0.008687883750663579
AE_1000-2000kHz__skewness,-0.005565159049828476,0.005565159049828476
AE_500-1000kHz__peak,0.0035302769562611997,0.0035302769562611997
AE_20-500kHz__dominant_frequency,0.003093878150724612,0.003093878150724612
AE_20-500kHz__spectral_flatness,0.0030245757956343187,0.0030245757956343187
skewness,-0.002108818377966727,0.002108818377966727
AE_1000-2000kHz__kurtosis,0.001955231171547484,0.001955231171547484
AE_500-1000kHz__frequency_kurtosis,-0.0016468473383287373,0.0016468473383287373
AE_500-1000kHz__shape_factor,-0.0,0.0
AE_500-1000kHz__crest_factor,0.0,0.0
AE_20-500kHz__rms_frequency,0.0,0.0
AE_500-1000kHz__complexity,0.0,0.0
AE_1000-2000kHz__peak,0.0,0.0
AE_1000-2000kHz__impulse_factor,0.0,0.0
AE_1000-2000kHz__rms_frequency,0.0,0.0
