feature,coefficient,abs_coefficient
AE__AE_1000-2000kHz__complexity,0.4236425099492069,0.4236425099492069
AE__AE_1000-2000kHz__mobility,-0.18487149343886666,0.18487149343886666
AE__AE_1000-2000kHz__peak_frequency,-0.14138560499238012,0.14138560499238012
AE__AE_500-1000kHz__spectral_std,-0.1310301079672717,0.1310301079672717
AE__AE_1000-2000kHz__rms_frequency,0.11518540394188134,0.11518540394188134
AE__peak_frequency,-0.1058840080530741,0.1058840080530741
AE__shape_factor,0.09115190909784146,0.09115190909784146
UL__spectral_mean,0.07902160151648631,0.07902160151648631
UL__mobility,0.06942690595045845,0.06942690595045845
AE__frequency_kurtosis,0.05978443002371092,0.05978443002371092
AE__AE_1000-2000kHz__spectral_kurtosis,0.057543585922759086,0.057543585922759086
AE__AE_1000-2000kHz__frequency_kurtosis,0.04895154877394022,0.04895154877394022
AE__peak,-0.04402212215009995,0.04402212215009995
AE__dominant_frequency,-0.04323564555382789,0.04323564555382789
AE__AE_500-1000kHz__normalized_frequency_std,-0.03634146947251103,0.03634146947251103
AE__frequency_skewness,-0.03582746253253223,0.03582746253253223
AE__AE_20-500kHz__complexity,-0.02571640314689361,0.02571640314689361
AE__AE_1000-2000kHz__dominant_frequency,0.02497607831633704,0.02497607831633704
AE__AE_20-500kHz__skewness,-0.02448557650026302,0.02448557650026302
AE__AE_1000-2000kHz__crest_factor,0.024068856309534807,0.024068856309534807
AE__margin_factor,0.0191173478288725,0.0191173478288725
AE__AE_500-1000kHz__dominant_frequency,-0.01880427126630295,0.01880427126630295
AE__AE_500-1000kHz__complexity,-0.01755140681433595,0.01755140681433595
UL__kurtosis,-0.01586151234227614,0.01586151234227614
UL__complexity,0.014030621189330841,0.014030621189330841
AE__AE_500-1000kHz__spectral_kurtosis,-0.010869200179911106,0.010869200179911106
AE__AE_20-500kHz__frequency_skewness,-0.010464033884628651,0.010464033884628651
AE__AE_1000-2000kHz__impulse_factor,-0.01037713355601583,0.01037713355601583
AE__AE_500-1000kHz__skewness,0.00944168522851784,0.00944168522851784
AE__AE_1000-2000kHz__skewness,-0.008780308385073436,0.008780308385073436
AE__AE_20-500kHz__spectral_flatness,0.008047655476340548,0.008047655476340548
AE__AE_500-1000kHz__shape_factor,0.007588513989800269,0.007588513989800269
UL__normalized_frequency_std,0.007491289700551997,0.007491289700551997
UL__spectral_kurtosis,-0.007460911032227317,0.007460911032227317
UL__dominant_frequency,-0.006506437478028378,0.006506437478028378
AE__AE_500-1000kHz__frequency_kurtosis,-0.006388236790080071,0.006388236790080071
AE__AE_20-500kHz__rms_frequency,-0.00635553591435435,0.00635553591435435
UL__crest_factor,0.005405502424231011,0.005405502424231011
AE__AE_20-500kHz__dominant_frequency,0.0031626423320089674,0.0031626423320089674
AE__AE_1000-2000kHz__kurtosis,0.002904290140544234,0.002904290140544234
UL__skewness,-0.0027041478988238813,0.0027041478988238813
AE__AE_500-1000kHz__crest_factor,-0.0020825695102751674,0.0020825695102751674
AE__AE_1000-2000kHz__peak,-0.0016582005865549828,0.0016582005865549828
AE__skewness,-0.0014212941108511829,0.0014212941108511829
AE__AE_500-1000kHz__peak,0.000830667298357573,0.000830667298357573
