feature,importance,abs_importance
AE_1000-2000kHz__complexity,1142,1142
AE_500-1000kHz__dominant_frequency,1129,1129
AE_500-1000kHz__complexity,1019,1019
AE_20-500kHz__dominant_frequency,825,825
AE_500-1000kHz__spectral_std,814,814
AE_1000-2000kHz__mobility,804,804
peak_frequency,789,789
AE_500-1000kHz__shape_factor,786,786
AE_1000-2000kHz__kurtosis,779,779
AE_20-500kHz__complexity,711,711
frequency_skewness,707,707
AE_20-500kHz__skewness,692,692
frequency_kurtosis,678,678
AE_1000-2000kHz__skewness,678,678
AE_500-1000kHz__crest_factor,664,664
AE_500-1000kHz__normalized_frequency_std,661,661
AE_1000-2000kHz__peak,645,645
skewness,641,641
shape_factor,620,620
AE_500-1000kHz__skewness,581,581
peak,559,559
AE_1000-2000kHz__crest_factor,547,547
AE_1000-2000kHz__rms_frequency,544,544
margin_factor,543,543
AE_500-1000kHz__peak,507,507
AE_500-1000kHz__spectral_kurtosis,489,489
AE_500-1000kHz__frequency_kurtosis,480,480
AE_20-500kHz__frequency_skewness,464,464
AE_1000-2000kHz__spectral_kurtosis,445,445
AE_1000-2000kHz__dominant_frequency,431,431
AE_1000-2000kHz__impulse_factor,404,404
AE_20-500kHz__rms_frequency,402,402
AE_1000-2000kHz__peak_frequency,384,384
AE_1000-2000kHz__frequency_kurtosis,371,371
AE_20-500kHz__spectral_flatness,353,353
dominant_frequency,280,280
