feature,importance,abs_importance
AE__AE_1000-2000kHz__complexity,1009,1009
UL__mobility,955,955
AE__AE_500-1000kHz__complexity,904,904
AE__AE_500-1000kHz__dominant_frequency,898,898
AE__AE_1000-2000kHz__mobility,752,752
AE__AE_500-1000kHz__shape_factor,745,745
AE__peak_frequency,721,721
AE__AE_500-1000kHz__spectral_std,711,711
AE__AE_1000-2000kHz__kurtosis,684,684
AE__frequency_kurtosis,663,663
UL__complexity,640,640
AE__AE_20-500kHz__dominant_frequency,627,627
UL__spectral_mean,616,616
AE__AE_1000-2000kHz__skewness,582,582
AE__skewness,576,576
AE__AE_500-1000kHz__skewness,570,570
AE__frequency_skewness,543,543
AE__AE_20-500kHz__complexity,540,540
UL__skewness,538,538
UL__kurtosis,527,527
UL__crest_factor,526,526
UL__normalized_frequency_std,521,521
AE__AE_500-1000kHz__normalized_frequency_std,504,504
AE__shape_factor,501,501
AE__AE_500-1000kHz__crest_factor,499,499
AE__AE_1000-2000kHz__crest_factor,499,499
UL__spectral_kurtosis,498,498
AE__AE_1000-2000kHz__rms_frequency,492,492
AE__AE_20-500kHz__skewness,485,485
AE__peak,484,484
AE__AE_1000-2000kHz__peak,482,482
AE__AE_500-1000kHz__peak,444,444
AE__AE_500-1000kHz__frequency_kurtosis,431,431
AE__AE_1000-2000kHz__dominant_frequency,408,408
AE__AE_500-1000kHz__spectral_kurtosis,401,401
AE__margin_factor,398,398
AE__AE_1000-2000kHz__frequency_kurtosis,389,389
AE__AE_20-500kHz__frequency_skewness,380,380
AE__AE_1000-2000kHz__spectral_kurtosis,367,367
UL__dominant_frequency,363,363
AE__AE_1000-2000kHz__peak_frequency,362,362
AE__AE_20-500kHz__rms_frequency,352,352
AE__AE_1000-2000kHz__impulse_factor,313,313
AE__AE_20-500kHz__spectral_flatness,310,310
AE__dominant_frequency,218,218
