feature,coefficient,abs_coefficient
AE_1000-2000kHz__complexity,0.48844501324599027,0.48844501324599027
AE_1000-2000kHz__complexity AE_500-1000kHz__dominant_frequency,-0.3500863887472897,0.3500863887472897
AE_1000-2000kHz__complexity^2,0.25812693645113166,0.25812693645113166
AE_500-1000kHz__dominant_frequency,-0.16476925891588792,0.16476925891588792
AE_1000-2000kHz__complexity AE_500-1000kHz__normalized_frequency_std,-0.12269330011237253,0.12269330011237253
AE_500-1000kHz__normalized_frequency_std shape_factor,0.11192621720294581,0.11192621720294581
AE_1000-2000kHz__complexity shape_factor,0.09820489773006133,0.09820489773006133
AE_500-1000kHz__peak^2,0.0935293699544378,0.0935293699544378
AE_500-1000kHz__dominant_frequency^2,0.08137449215528843,0.08137449215528843
shape_factor AE_500-1000kHz__dominant_frequency,0.05824685084283806,0.05824685084283806
AE_500-1000kHz__normalized_frequency_std,-0.050438568444437636,0.050438568444437636
AE_500-1000kHz__dominant_frequency AE_500-1000kHz__peak,-0.04262808961981957,0.04262808961981957
AE_500-1000kHz__normalized_frequency_std AE_500-1000kHz__dominant_frequency,0.02439768672064143,0.02439768672064143
AE_500-1000kHz__normalized_frequency_std^2,0.015760045477211725,0.015760045477211725
shape_factor^2,0.015267876159161085,0.015267876159161085
shape_factor AE_500-1000kHz__peak,-0.013474805596788979,0.013474805596788979
shape_factor,-0.013078424073817006,0.013078424073817006
AE_500-1000kHz__peak,-0.006256447918762204,0.006256447918762204
AE_500-1000kHz__normalized_frequency_std AE_500-1000kHz__peak,-0.005471478260542959,0.005471478260542959
AE_1000-2000kHz__complexity AE_500-1000kHz__peak,0.002870373745880503,0.002870373745880503
