feature,coefficient,abs_coefficient
AE__AE_1000-2000kHz__complexity,0.5314237223042898,0.5314237223042898
AE__AE_1000-2000kHz__complexity AE__AE_500-1000kHz__dominant_frequency,-0.4111173098026991,0.4111173098026991
AE__AE_1000-2000kHz__complexity^2,0.31544834347572637,0.31544834347572637
UL__spectral_mean AE__AE_500-1000kHz__dominant_frequency,0.17774714277428008,0.17774714277428008
AE__AE_1000-2000kHz__complexity AE__AE_500-1000kHz__normalized_frequency_std,-0.17078879397398392,0.17078879397398392
UL__spectral_mean,-0.13725837829669152,0.13725837829669152
AE__AE_500-1000kHz__normalized_frequency_std UL__spectral_mean,0.11324221774933774,0.11324221774933774
AE__AE_500-1000kHz__dominant_frequency^2,0.0911120698715671,0.0911120698715671
AE__AE_500-1000kHz__dominant_frequency,-0.08584773724279475,0.08584773724279475
AE__AE_500-1000kHz__normalized_frequency_std AE__AE_500-1000kHz__dominant_frequency,0.06674536383289144,0.06674536383289144
AE__AE_1000-2000kHz__complexity UL__spectral_mean,-0.05608578814060001,0.05608578814060001
AE__AE_500-1000kHz__normalized_frequency_std AE__shape_factor,0.051021845281227975,0.051021845281227975
AE__AE_500-1000kHz__normalized_frequency_std,-0.05028697160112774,0.05028697160112774
AE__shape_factor UL__spectral_mean,0.04017842163297873,0.04017842163297873
AE__AE_1000-2000kHz__complexity AE__shape_factor,0.03952379754090933,0.03952379754090933
AE__AE_500-1000kHz__normalized_frequency_std^2,0.03573345663464446,0.03573345663464446
AE__shape_factor,0.026519123740405905,0.026519123740405905
AE__shape_factor AE__AE_500-1000kHz__dominant_frequency,0.0189022581091998,0.0189022581091998
UL__spectral_mean^2,-0.013131945096099492,0.013131945096099492
AE__shape_factor^2,-0.0033106099386456212,0.0033106099386456212
