feature,coefficient,abs_coefficient
crest_factor,0.415347118366915,0.415347118366915
kurtosis,-0.33691319676709874,0.33691319676709874
spectral_mean crest_factor,0.298060461908109,0.298060461908109
spectral_mean,0.28571897945072516,0.28571897945072516
spectral_mean kurtosis,-0.21866227352820283,0.21866227352820283
skewness,-0.09572402647667091,0.09572402647667091
spectral_mean skewness,-0.060882337678194155,0.060882337678194155
dominant_frequency,0.03556614993415889,0.03556614993415889
kurtosis crest_factor,0.02929943100244103,0.02929943100244103
spectral_mean^2,-0.029047373548747618,0.029047373548747618
dominant_frequency^2,0.026535404223771233,0.026535404223771233
dominant_frequency crest_factor,-0.020095369895149037,0.020095369895149037
kurtosis^2,-0.007196314174237468,0.007196314174237468
crest_factor skewness,0.0056639571047461075,0.0056639571047461075
kurtosis dominant_frequency,0.004208321671429829,0.004208321671429829
spectral_mean dominant_frequency,-0.003971448467467241,0.003971448467467241
crest_factor^2,-0.0028838522769815134,0.0028838522769815134
skewness^2,0.0021174236472058755,0.0021174236472058755
dominant_frequency skewness,0.001555956516577979,0.001555956516577979
kurtosis skewness,0.001305194766093999,0.001305194766093999
